stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,2,9,0,2,0,0,22,0,0,0,0,0,0,5,0,1,92,1,0,10,1,0,1,5,43,3,8,112,0,1,0
 24-34,0,0,1.64,2.46,0,3.28,0.82,0,13.95,0.82,0,0,0,0,0,4.93,0,0,77.16,0.82,0.82,0.82,0,0,0,0,16.42,0.82,3.28,38.58,0,1.64,0
 36-46,0,0,0,1.61,0,1.61,0,0.81,15.31,0,0,0,0,0,0,2.42,0,0,32.23,0,0.81,2.42,0,0,0,0,8.06,0,0,24.17,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,13.77,0.57,0,0,0,1.15,0,4.59,0,0,28.69,0,2.3,1.72,0,0,0.57,0,4.59,0,0,19.51,0,0,0
 60-70,0,0,0,0.98,0,5.89,0,0,9.82,0,0,0,0,2.94,0,15.7,0,1.96,16.69,0,0.98,0,0,0,0,0,1.96,0,0,8.83,0,0,0
 72-82,0,0,0,0.98,0,7.85,0,0,35.34,1.96,0,0,0,0.98,0,17.67,0.98,0.98,13.74,0,1.96,9.82,0,0.98,0,0,1.96,0,0,1.96,0,0,0
 84-94,0,1.06,1.06,1.06,0,2.12,1.06,0,11.68,0,0,0,0,2.12,0,12.74,1.06,0,12.74,0,2.12,6.37,0,2.12,0,0,5.31,0,0,6.37,0,0,2.12
 96-106,0,0,0,0,1.09,1.09,0,0,14.21,3.28,0,1.09,0,5.46,0,17.49,0,0,12.02,0,3.28,14.21,0,1.09,0,0,3.28,0,0,3.28,0,0,1.09
108-118,0,2.3,0.77,0.77,0,3.83,0.77,0,6.89,0,0,0,0.77,3.06,1.53,13.79,0,1.53,13.02,0,3.06,6.89,0,0.77,0,0,2.3,0,0,2.3,0,1.53,0
120,0,0,0,0,0,3.92,0,0,7.84,1.96,0,0,0,3.92,0,9.8,0,0,11.76,0,0,15.68,0,0,0,0,1.96,0,0,0,1.96,0,1.96
