stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11,4,9,17,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,0,3,287,1,1,1,4,0,1,0,6,0,3,7,260,0,0,6,0,0
 24-34,0,13.95,0.82,22.16,4.1,0,37.76,0,1.64,0.82,16.42,0.82,0.82,1.64,1.64,3.28,0,2.46,0.82,3.28,45.97,0.82,0,17.24,1547.31,4.93,46.79,6.57,0,0,18.88,0,0.82,0,0,4.93,639.45,0,0,22.16,0,0.82
 36-46,0.81,10.47,0.81,7.25,0,0,110.38,1.61,0.81,0.81,16.92,0.81,0,2.42,3.22,1.61,0,2.42,0,1.61,41.89,0,0.81,12.09,2852.07,0.81,75.73,5.64,0,0.81,18.53,0,0,0,0,0,813.73,0,0,9.67,0,5.64
 48-58,0.57,6.31,0,11.48,1.72,0,468.8,2.3,2.3,5.16,64.27,0.57,0,1.72,3.44,0.57,0.57,1.15,1.15,5.74,88.94,0.57,5.16,17.21,3745.8,0.57,49.92,4.02,0,0,9.75,0,0,0,0.57,0,862.43,0,1.15,10.33,0,10.9
 60-70,0,2.94,0,9.82,3.93,0,755.77,0,0.98,1.96,53.98,1.96,0,3.93,0.98,0,0.98,0.98,0.98,0.98,60.85,0.98,2.94,10.8,4640.64,0,54.97,5.89,0,0.98,5.89,0,0,0,0.98,0,843.13,0.98,1.96,3.93,0.98,8.83
 72-82,0,11.78,0,31.41,23.56,0,993.44,1.96,1.96,5.89,96.2,3.93,0,1.96,5.89,0.98,3.93,6.87,0,1.96,131.54,1.96,3.93,14.72,4046.41,0,120.74,22.58,0,1.96,15.71,0.98,0,0,0,0,522.24,5.89,0.98,13.74,6.87,7.85
 84-94,0,19.12,0,47.79,10.62,0,660.59,1.06,2.12,4.25,70.09,4.25,0,1.06,6.37,0,3.19,1.06,3.19,1.06,60.54,0,0,6.37,2016.81,0,127.44,18.05,0,2.12,21.24,0,0,1.06,0,0,291,11.68,7.43,4.25,2.12,2.12
 96-106,0,13.11,0,38.25,14.21,2.19,484.13,1.09,1.09,3.28,77.59,14.21,1.09,4.37,7.65,0,4.37,9.84,5.46,2.19,67.76,0,3.28,6.56,1616.32,2.19,202.18,16.39,0,3.28,19.67,2.19,0,0,0,0,136.61,22.95,3.28,4.37,3.28,5.46
108-118,0,12.26,0,31.4,5.36,2.3,421.28,0,1.53,3.06,55.92,3.83,0,2.3,8.43,1.53,0.77,3.06,5.36,1.53,39.83,0.77,1.53,7.66,2155.42,0.77,128.68,13.79,0,2.3,9.19,0,0,0.77,0,0,104.17,22.21,0.77,6.89,3.83,1.53
120,0,1.96,0,37.24,11.76,0,386.08,3.92,0,3.92,76.43,1.96,0,1.96,5.88,1.96,1.96,1.96,5.88,0,48.99,3.92,1.96,5.88,2479.13,1.96,86.23,13.72,0,3.92,7.84,0,0,1.96,0,0,111.71,3.92,0,17.64,0,0
