stage,blastomeres,endoderm,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,mesenchyme,neural,paraxial_mesoderm,pericytes,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,0,0,0,12.59,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,8.83,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,1.96,5.89,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,1.06,4.25,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,3.28,3.28,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0,3.06,0.77,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0
