stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,1.64,0,4.1,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,2.42,0,0.81,1.61,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0,2.3,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,3.93,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0,2.12,0,13.81,1.06,0,1.06,0,0,0
 96-106,0,3.28,2.19,1.09,2.19,1.09,0,1.09,0,0,0,0,0,5.46,0,0,0,0,0,1.09
108-118,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0,0.77,9.96,0,0,0,0.77,0.77,0.77
120,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,11.76,0,0,0,0,0,0
