stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,5,76,82,0,118,0,1,0,10,0,5,2,4,4,0,1,1,3,41,0,0,32,907,7,1,5,17,0,8,6,118,5,8,169,176,0,0,10,0,0
 24-34,0,0,9.03,15.6,33.66,0,191.26,0,0,0.82,9.03,0.82,0,0,0.82,4.1,0.82,3.28,3.28,1.64,73.88,0.82,0,23.8,945.63,3.28,8.21,13.13,0,0,19.7,0,1.64,0,0.82,27.91,166.63,0,0,22.16,0,4.1
 36-46,0,0,0,10.47,0.81,0,151.47,0,0,3.22,20.14,1.61,0,0.81,3.22,6.45,3.22,0.81,5.64,2.42,64.45,0,2.42,13.7,609.09,0.81,6.45,8.06,0,0,15.31,0.81,0,0,0,1.61,112.79,0,0,6.45,0,4.03
 48-58,0.57,0,0,5.74,4.59,0,220.34,4.02,1.72,3.44,27.54,3.44,0,0,5.74,2.3,5.74,0.57,2.3,4.02,72.87,0,0.57,20.08,456.17,0.57,2.3,5.74,0,0,6.31,0,0,0.57,2.3,0,90.66,0,0,6.89,0,2.87
 60-70,0,0.98,0,10.8,6.87,0,287.59,1.96,1.96,5.89,37.3,5.89,0,0.98,2.94,1.96,0.98,0.98,0,2.94,79.5,1.96,2.94,19.63,453.46,0.98,0.98,3.93,0,0,5.89,0,0,0.98,6.87,0,45.15,0,1.96,3.93,0.98,3.93
 72-82,0,3.93,0,17.67,20.61,0.98,241.49,1.96,1.96,2.94,51.05,9.82,0.98,1.96,7.85,6.87,0.98,2.94,4.91,2.94,83.44,0,2.94,25.52,377.94,0,2.94,3.93,0,0.98,24.54,0,0,1.96,0.98,0,29.45,0.98,1.96,7.85,0,3.93
 84-94,0,2.12,0,25.49,20.18,3.19,175.24,1.06,2.12,5.31,36.11,14.87,2.12,1.06,10.62,6.37,2.12,1.06,2.12,5.31,76.47,0,5.31,23.36,204.97,0,3.19,7.43,0,1.06,59.47,0,0,7.43,11.68,0,19.12,3.19,3.19,15.93,1.06,5.31
 96-106,0,0,0,22.95,17.49,7.65,127.86,1.09,0,3.28,31.69,7.65,0,3.28,12.02,5.46,3.28,1.09,8.74,2.19,79.78,1.09,3.28,21.86,178.13,2.19,3.28,8.74,0,1.09,46.99,0,0,5.46,5.46,0,4.37,2.19,1.09,13.11,4.37,2.19
108-118,0,0.77,0.77,36,18.38,13.02,107.23,4.6,4.6,2.3,36.77,7.66,0,0.77,13.79,7.66,3.83,3.06,8.43,6.13,59.75,0.77,1.53,26.81,206.81,2.3,5.36,9.19,0,0.77,62.81,0,0,4.6,8.43,0,6.89,0.77,0.77,11.49,0.77,3.83
120,0,0,0,58.79,21.56,7.84,80.35,11.76,7.84,1.96,17.64,13.72,0,0,27.44,13.72,1.96,7.84,3.92,3.92,82.31,3.92,3.92,33.32,252.81,5.88,1.96,7.84,0,1.96,74.47,0,0,1.96,1.96,0,5.88,0,1.96,11.76,3.92,0
