stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,2,0,4,0,0,0,3,1,0,1,0,0,0,0,0,0,3,0,9,52,1,1,0,3,0,0,1,5,0,1,10,17,0,0,0,0,0
 24-34,0,0,0.82,1.64,1.64,0,7.39,0,0.82,0,4.1,0,0,0,0,0,0,0,0.82,0,8.21,0,1.64,117.38,0.82,0,1.64,0,0,0,0,0,0,0,0.82,30.37,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,19.34,0,0,0,3.22,0,0,0,0,0,0,0,0,0,11.28,0,0.81,120.85,0,1.61,0,0,0,1.61,0,0,0.81,0,0,32.23,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,44.76,0,0,0.57,9.18,0,0,0,0,0,0,0.57,0.57,0.57,13.2,0,1.72,116.48,0.57,1.15,0.57,0,0,0,0,0,0,0.57,0,24.67,0,0,0,0,0.57
 60-70,0,0,0,4.91,0,0,57.91,0,0,0,15.7,0.98,0,0,0,0,0.98,0,0,0,17.67,0,3.93,150.17,0,1.96,0,0,0,4.91,0,0,0,0.98,0,25.52,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,86.39,0,0,0,24.54,0.98,0.98,0,0,0,0,0,0,0,31.41,0,1.96,143.32,0,2.94,1.96,0,0.98,2.94,0,0,0,0.98,0,9.82,0.98,1.96,2.94,0,0
 84-94,0,0,0,2.12,1.06,0,33.99,1.06,2.12,2.12,10.62,2.12,0,0,0,0,2.12,0,0,0,13.81,2.12,6.37,66.91,0,0,0,0,0,4.25,0,0,1.06,0,0,4.25,0,0,0,0,0
 96-106,0,1.09,0,6.56,1.09,0,34.97,0,1.09,1.09,14.21,1.09,0,1.09,1.09,0,0,2.19,0,1.09,15.3,2.19,1.09,65.57,0,1.09,3.28,0,0,6.56,0,0,0,0,0,5.46,0,0,1.09,0,1.09
108-118,0,0.77,0,4.6,0.77,0,28.34,0.77,0.77,0,9.19,0,0,0.77,2.3,0,0,0.77,0,0.77,10.72,0.77,6.89,75.83,0.77,0.77,1.53,0,0.77,2.3,0,0,0,0,0,1.53,0,1.53,1.53,0.77,0
120,0,0,0,5.88,0,1.96,25.48,1.96,0,0,13.72,1.96,0,0,0,1.96,3.92,0,0,0,13.72,0,3.92,74.47,0,0,3.92,0,0,3.92,0,0,0,0,0,3.92,0,0,3.92,0,0
