stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,49.04,1023.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,0,47.32,0,0,0,107.78,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,594.09,7.89,0,0,233.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,12.59,0,6.29,0,66.09,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,531.84,3.15,0,0,254.9,3.15,6.29,0,25.18,3.15,6.29,0,0,0,0
 14-21,0,0,0,3,49,20,0,38,0,0,10,1,2,0,0,1,0,0,0,0,51,0,0,34,561,10,0,12,18,10,0,46,3,45,177,0,2,0,0
 24-34,0,0,0,2.46,20.52,6.57,0,158.43,1.64,1.64,16.42,1.64,0,1.64,2.46,0,1.64,0.82,0.82,0,95.22,0.82,0,40.22,944.81,1.64,1.64,11.49,0,28.73,0,0,1.64,4.1,212.6,0,14.78,0,1.64
 36-46,0,0,0,0,10.47,4.03,0,262.65,0,0.81,16.92,1.61,0,0,0.81,0.81,0,2.42,3.22,0.81,79.76,0,1.61,19.34,513.21,0,2.42,2.42,0,5.64,0,0.81,0.81,0,119.24,0,7.25,0,0.81
 48-58,0.57,0,0,0.57,10.9,0,0,288.62,0,2.3,19.51,1.15,0,1.72,0.57,0,0.57,0,0.57,0,69.43,0.57,2.87,15.49,227.23,0.57,0.57,2.87,0,2.87,0,0,0,0,42.46,0,9.18,0,0
 60-70,0,0,0,0,6.87,0,0,198.27,0,0,24.54,3.93,0,1.96,0.98,0,3.93,2.94,0,0,53,0,4.91,7.85,147.23,0.98,0,1.96,0,2.94,0,0,0,0,12.76,0,3.93,0,0
 72-82,0,0,0,0.98,6.87,0.98,0,80.5,0,0,23.56,4.91,0,2.94,0.98,0.98,0.98,1.96,1.96,0,64.79,1.96,2.94,8.83,104.06,0,0.98,3.93,0,2.94,0,0,0.98,0,5.89,0.98,11.78,0.98,0.98
 84-94,0,0,0,1.06,16.99,4.25,2.12,67.97,0,1.06,21.24,6.37,0,1.06,4.25,1.06,0,0,2.12,0,52.04,0,5.31,9.56,93.46,0,1.06,4.25,0,5.31,0,0,3.19,0,1.06,0,7.43,0,1.06
 96-106,0,0,1.09,0,17.49,1.09,0,51.36,1.09,1.09,22.95,5.46,0,1.09,2.19,0,2.19,2.19,1.09,0,42.62,0,3.28,6.56,77.59,1.09,1.09,4.37,0,3.28,0,0,1.09,0,3.28,1.09,9.84,0,0
108-118,0,0,0,0,13.02,5.36,0.77,54.38,1.53,0.77,11.49,3.83,0,0,4.6,1.53,1.53,1.53,1.53,0,28.34,0,0.77,5.36,85.02,0,0,4.6,0,5.36,0,0,0.77,0,2.3,3.06,6.13,0,0
120,0,0,0,0,7.84,9.8,0,52.91,0,0,19.6,1.96,0,0,7.84,0,3.92,0,0,0,21.56,0,1.96,7.84,68.59,1.96,1.96,0,0,5.88,0,0,0,0,0,0,3.92,1.96,1.96
