stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,26,0,0,0,1,2,3,0,1,12,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,11.49,0,0,0,1.64,0.82,0,0,0,0,0,0,0,13.13,0.82,0,2.46,73.88,0,0.82,0.82,0,2.46,0,0,0.82,9.85,0,0,1.64,0
 36-46,0,0,0,0,2.42,0,12.09,0,0,0,1.61,0,0,0,0,0,0.81,0,0,7.25,0,0,1.61,64.45,0,0.81,0,0,0.81,0,0,0,12.89,0,0,0.81,0
 48-58,0,0,0,0,4.59,0,25.82,0.57,0.57,0,3.44,0,0,0,0.57,0,0,0,0,7.46,0,0,1.72,49.35,0,0,0,0,0.57,0,0,0,4.59,0,0,1.15,0
 60-70,0,0,0,0,1.96,0.98,19.63,0,0,0,1.96,0.98,0,0,0,0,0,0,0,3.93,0,0,0.98,35.33,0.98,0,0,0,1.96,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,18.65,0,0,0,2.94,1.96,0,0,0,0,0,1.96,0,7.85,0,0,0.98,23.56,0,0.98,1.96,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,8.5,0,0,0,3.19,0,0,0,1.06,0,0,0,1.06,7.43,0,0,1.06,11.68,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,0,1.09,0,0,0,0,0,4.37,0,1.09,0,5.46,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,6.13,0,0,0.77,2.3,0,0,0,0,0.77,0,0,0,6.13,0,0,0,12.26,0.77,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,0,1.96,0,0,1.96,9.8,0,0,0,0,1.96,0,0,0,5.88,0,0,0,41.16,0,0,0,0,3.92,0,0,0,0,1.96,1.96,1.96,0
