stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.11,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,73.6,18.4,0,0,10.51,0,49.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,0,12.59,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,40.91,18.88,0,0,18.88,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,4,32,0,0,0,0,0,0,12,29,0,0,15,0,0,1,1,4,0,2,7,28,0,2,2,0,65,0,0,0,18,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,2.46,4.1,0.82,0,0,4.93,0,0,34.48,0,0.82,0,2.46,4.93,0,1.64,28.73,15.6,4.93,0.82,0,0,64.85,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,1.61,0.81,0.81,0,0.81,0,0,0.81,7.25,0,3.22,0,2.42,0.81,0,0,39.48,7.25,0.81,2.42,0,0,83.79,0,0,0,5.64,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,2.87,0.57,0.57,0,0.57,1.15,0,0,1.72,0,2.87,0,4.02,2.3,0,0,35.58,5.74,0.57,1.72,0,0,74.02,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,4.91,0.98,0,0.98,1.96,0,0,0,2.94,0.98,3.93,0,13.74,0.98,0,0,48.09,0.98,2.94,0.98,0,0,47.11,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,1.96,0,13.74,0,0,12.76,0,0.98,2.94,11.78,0.98,0,0,4.91,0,5.89,1.96,5.89,3.93,0,0.98,78.53,1.96,0.98,3.93,0,0,43.19,0,0,0.98,9.82,2.94,0,0,0
 84-94,0,0,3.19,0,20.18,0,0,6.37,4.25,0,3.19,29.74,1.06,0,0,10.62,0,9.56,1.06,6.37,5.31,1.06,1.06,49.92,2.12,4.25,4.25,0,0,178.42,0,0,0,1.06,9.56,0,0,0
 96-106,0,0,0,0,29.51,3.28,1.09,10.93,3.28,0,13.11,39.34,0,0,0,8.74,0,15.3,0,7.65,8.74,0,0,59.01,1.09,5.46,2.19,0,1.09,101.63,1.09,0,0,2.19,19.67,0,1.09,0
108-118,0,0,0.77,0,30.64,1.53,0,6.13,6.13,0,16.09,47.49,0,0.77,0,15.32,0,14.55,0.77,3.83,3.06,0,0,52.09,2.3,3.06,5.36,0,0,98.04,0,0.77,0,3.83,22.98,0,0,0.77
120,0,0,0,0,23.52,0,0,3.92,1.96,0,11.76,21.56,0,0,0,9.8,0,9.8,0,1.96,7.84,0,0,62.71,1.96,1.96,1.96,0,0,58.79,0,0,0,7.84,9.8,0,0,0
