stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
 24-34,0,0,0,2.46,0.82,0,0,0,0,0,0,0,1.64,6.57,0,0,0.82,0,0.82,0,0,1.64,2.46,0,0,0,0,0,0,4.1
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,9.67,0,0,0,0.81,1.61,0,0,0,2.42,0,0,2.42,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,0.57,0,0.57,0.57,0,0,0,6.89,0,0,1.15,0.57,1.72,0,0,0.57,1.72,0,0,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0,11.78,0,0,0.98,0,2.94,0,0,0.98,3.93,0.98,0,0,0,0,0.98,5.89
 72-82,0,0,0,0.98,0.98,0,0.98,0,0,0,4.91,0,0,11.78,0.98,0,0,0,4.91,0,0,0,4.91,0,0,2.94,0,0.98,0.98,5.89
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,3.19,0,0,27.61,0,0,0,0,7.43,0,1.06,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,5.46,0,2.19,2.19,1.09,0,0,3.28,1.09,0,27.32,1.09,1.09,0,0,7.65,0,2.19,0,4.37,0,0,10.93,0,0,3.28,2.19
108-118,0,0.77,0.77,2.3,0,1.53,0.77,0,0,0,3.06,0.77,0,19.92,0,0,0,0,0.77,0.77,0,0,0.77,0,0,5.36,0,0,1.53,2.3
120,0,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,21.56,1.96,1.96,0,0,1.96,0,0,0,3.92,0,0,5.88,0,0,1.96,1.96
