stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,129.03,37.76,0,0,173.08,0,0,0,3.15,12.59,0,15.73,0,0,0,0,0
 14-21,0,1,10,3,43,19,0,17,0,1,0,8,1,0,0,1,6,0,0,0,0,16,0,0,201,190,44,0,2,14,0,2,0,381,4,32,1672,73,0,0,0,0
 24-34,0,0,16.42,0,5.75,11.49,0,22.98,0,0,0.82,0.82,0,0,0,0,1.64,0,0,1.64,0,31.19,0,0,101.79,123.95,3.28,0,0.82,0,0,0.82,0,2.46,0,0,130.52,40.22,0,0,0,0.82
 36-46,0,0,7.25,0,1.61,0.81,0,13.7,0.81,0,0.81,2.42,0,0,0,0,0.81,0,0,0.81,0,39.48,0,4.03,16.92,69.29,1.61,0,0.81,0,0,0.81,0,0,0,0,0,37.06,0,0,0,0
 48-58,0,0,8.61,0,1.72,0.57,0,23.53,0,0,1.15,3.44,0,0,0,0,2.3,0,0,1.72,0,37.3,0.57,16.64,10.33,42.46,0,0,0,0,1.72,0,0,0,0,0,0,25.25,2.87,0,0,0
 60-70,0,0,7.85,0,0.98,0.98,0,62.82,0,0,0,0,0.98,0,0.98,0,0,0,0,1.96,0,55.95,0,39.26,10.8,52.02,0,0,0,0,0.98,0.98,0,0,0,0.98,0,8.83,15.7,0.98,12.76,0
 72-82,0,0,33.38,0,2.94,11.78,0,88.35,0,1.96,0,7.85,2.94,0,0,2.94,0,0,0,1.96,0,49.08,0,23.56,6.87,59.88,0,0,2.94,0,0,2.94,0,0,0,0.98,0,7.85,29.45,0.98,40.25,0.98
 84-94,0,0,36.11,0,8.5,3.19,0,83.9,1.06,1.06,0,8.5,11.68,0,0,3.19,3.19,0,0,0,0,29.74,0,35.05,9.56,49.92,0,0,0,0,0,1.06,0,0,0,0,0,5.31,33.99,0,47.79,0
 96-106,0,0,38.25,0,6.56,4.37,1.09,112.56,0,2.19,0,8.74,6.56,0,0,1.09,2.19,1.09,1.09,1.09,0,38.25,0,19.67,3.28,38.25,0,0,1.09,0,3.28,1.09,3.28,0,0,0,0,4.37,18.58,0,57.92,1.09
108-118,0,0,24.51,0,3.83,6.13,0,130.98,0,0,0,7.66,1.53,0,0,1.53,3.06,0.77,0,2.3,0.77,33.7,0.77,13.02,4.6,53.62,0,0.77,0,0,1.53,2.3,0,0,0,0,0,1.53,6.89,0,45.96,0
120,0,0,27.44,0,15.68,7.84,0,88.19,0,3.92,1.96,11.76,1.96,0,0,3.92,1.96,0,0,1.96,0,9.8,0,17.64,3.92,68.59,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,11.76,0,66.63,0
