stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,35,1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,1,13,0,0,1,0,0,0,0,1,22,0,0,0,0
 24-34,0,0,1.64,32.01,0,0,2.46,0,3.28,17.24,1.64,0,0,4.1,0,0,0,3.28,3.28,0,0.82,18.88,0,3.28,0,0,13.13,0.82,0,0,50.07,0,0,0,0
 36-46,0,0,0,14.5,0,0,4.03,0,4.83,8.86,0,0,0,0.81,0,1.61,0,2.42,2.42,0,0,17.72,0,0.81,0,0,21.75,0,0.81,0,44.31,0,0,0,0
 48-58,0,0,0,20.66,0,0,2.87,0,6.31,8.03,0.57,0,0,3.44,0.57,0,0.57,0.57,5.74,0.57,0,13.2,0,1.72,0,0,12.05,0.57,0,0,22.95,0,0,0,0
 60-70,0,0,0,30.43,0,0,0.98,0,8.83,3.93,2.94,0,0,0.98,0,0.98,0.98,2.94,11.78,0,0,14.72,0,3.93,0,0,18.65,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0,46.14,0,0,4.91,0,0.98,5.89,7.85,0.98,0.98,0,0,1.96,0,1.96,7.85,2.94,0,32.39,0,2.94,1.96,0.98,24.54,0,0,0,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,0,63.72,0,0,4.25,0,20.18,3.19,16.99,1.06,2.12,6.37,1.06,1.06,1.06,1.06,11.68,3.19,0,22.3,0,5.31,1.06,0,58.41,1.06,0,0,1.06,4.25,0,1.06,1.06
 96-106,0,0,0,62.29,0,1.09,8.74,0,18.58,4.37,18.58,0,1.09,4.37,0,5.46,1.09,5.46,16.39,0,0,19.67,0,9.84,3.28,0,72.13,2.19,0,0,1.09,1.09,0,0,5.46
108-118,0,0,0.77,70.47,0,0,3.06,1.53,16.85,4.6,23.74,0,0.77,4.6,0,1.53,0.77,5.36,6.13,0,0,26.81,0,6.13,0.77,0,43.66,0.77,0,0,1.53,1.53,0,0.77,6.13
120,0,0,0,62.71,0,0,1.96,0,19.6,0,41.16,3.92,0,3.92,0,3.92,0,9.8,5.88,0,0,19.6,0,7.84,0,0,50.95,1.96,0,0,5.88,0,0,0,1.96
