stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,184.49,3057.28,0,0,0,0,0,0,0,144.96,0,0,0
  5-6,263.57,2580.58,12.26,0,0,12.26,24.52,0,18.39,67.43,0,0,0
  7-9,18.4,57.83,44.69,0,165.61,21.03,1277.55,31.54,352.25,10.51,7.89,0,0
 10-12,0,18.88,28.32,3.15,59.79,15.73,708.07,9.44,229.73,6.29,0,18.88,3.15
