stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0.98,0,0,0,0.98,0,0
 72-82,0,0,1.96,0,0.98,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0,2.12,1.06,1.06,0,0,0,0,0
 96-106,0,0,3.28,2.19,0,0,1.09,0,0,0,0,0,1.09,0,4.37,0,0,1.09,0,0,4.37,0
108-118,0,0,2.3,3.83,0.77,0,1.53,0,0,0,0.77,0.77,1.53,0,3.06,0,0.77,3.06,0,0,0,0.77
120,0,3.92,1.96,0,0,0,1.96,0,0,3.92,0,0,11.76,0,7.84,1.96,0,0,0,0,1.96,0
