stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,10.51,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,40,0,7,0,3,0,0,0,0
 24-34,0,0,0,0,13.95,0,0,1.64,1.64,0,0.82,0,0.82,1.64,21.34,0,1.64,0.82,0,0.82,0,0,18.06,0,0.82,0,0,154.32,0,18.88,0,2.46,0,2.46,0,0
 36-46,0,0,0,0,4.83,0,0,4.03,2.42,0.81,0.81,0,0,1.61,8.06,0,1.61,0,2.42,2.42,0,0.81,10.47,0,2.42,0.81,0,116.82,0,13.7,0,3.22,0,1.61,0,0
 48-58,0,0,0,0,4.02,0,0,3.44,2.3,1.15,1.72,0,0,0.57,4.59,0,0.57,0.57,5.16,0.57,0,0,14.35,0,1.72,2.3,0,111.32,0,2.3,0,3.44,0,4.02,0,0.57
 60-70,0,0,0,0,15.7,0,0,12.76,1.96,8.83,3.93,0,0,6.87,4.91,0.98,0,0,2.94,0.98,0,0,7.85,0,2.94,2.94,0,90.3,0,10.8,0.98,3.93,0,3.93,0,0
 72-82,0,0,1.96,0,12.76,0,0,6.87,1.96,9.82,10.8,0,0,9.82,9.82,0,3.93,0,10.8,0.98,0.98,2.94,17.67,0,1.96,1.96,0,102.09,0,11.78,0.98,0,4.91,10.8,0,0.98
 84-94,0,0,2.12,0,22.3,0,0,22.3,5.31,3.19,12.74,0,0,12.74,26.55,1.06,0,6.37,4.25,5.31,0,0,5.31,0,3.19,0,0,316.49,0,13.81,0,0,2.12,6.37,1.06,0
 96-106,0,0,2.19,1.09,27.32,1.09,1.09,14.21,1.09,3.28,19.67,0,0,16.39,19.67,0,3.28,2.19,5.46,2.19,0,1.09,18.58,0,6.56,2.19,0,245.89,0,13.11,0,1.09,6.56,10.93,0,0
108-118,0,0,1.53,0.77,31.4,0,4.6,11.49,9.96,5.36,21.45,0,0,12.26,17.62,0,3.06,3.83,8.43,4.6,0,1.53,9.96,0,0.77,0,0,189.96,0,16.85,0,0.77,3.83,5.36,0,1.53
120,0,0,1.96,0,60.75,0,0,3.92,9.8,0,33.32,0,0,11.76,17.64,0,3.92,1.96,5.88,5.88,0,0,9.8,1.96,1.96,5.88,0,178.34,0,19.6,0,0,0,5.88,0,0
