stage,blastomeres,endoderm,eye,gut,hatching_gland,melanocytes,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,7.89,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,3.93,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,6.37,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,5.36,0,0.77,0,2.3,0,0,0,0,0.77
120,0,0,0,9.8,0,0,0,0,0,0,0,0,0
