stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,7,166,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,4,0,0,0,62,0,0,1,0,0,0,2,0,37,0,0,0,0,0
 24-34,0,0,0.82,81.26,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0.82,0,0,0.82,61.56,0,8.21,0,0,0,0.82,0,0.82,32.83,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,4.83,1.61,0,0,0,0,0,0,3.22,0,0,0,72.51,0,7.25,0,0,0,0.81,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0,0,6.89,0,0,0,1.72,0,22.95,0.57,0,0,0,0,0,0,1.72,0,1.15,0,71.15,0,3.44,0,0,0,0.57,0,0,11.48,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,67.73,0,0.98,0,0,0,3.93,0.98,0,0,0,0.98,0,0,3.93,0,0,0,108.95,0,4.91,0.98,0,0,0,0,0,32.39,0,0,0,0,2.94
 72-82,0,0.98,3.93,1.96,0,325.91,0.98,1.96,0,8.83,0.98,3.93,0.98,1.96,0.98,0,0.98,0.98,0,26.5,0,0,2.94,185.53,0,11.78,1.96,0,0,2.94,0,0,47.12,0,0,1.96,0.98,1.96
 84-94,2.12,1.06,7.43,1.06,0,300.56,0,0,0,8.5,0,3.19,0,2.12,0,1.06,0,0,1.06,11.68,0,4.25,0,117.89,0,11.68,2.12,0,0,0,0,0,27.61,0,0,1.06,0,0
 96-106,2.19,1.09,5.46,5.46,1.09,335.5,0,3.28,1.09,9.84,2.19,0,1.09,5.46,0,2.19,1.09,0,4.37,21.86,0,0,0,126.77,0,30.6,2.19,0,0,6.56,0,2.19,15.3,1.09,1.09,1.09,1.09,0
108-118,3.06,6.13,5.36,1.53,0,223.66,0,0,0,17.62,0.77,0,0.77,6.89,0.77,1.53,2.3,0.77,6.13,21.45,0.77,0,1.53,170.81,0.77,17.62,0.77,0,1.53,1.53,0,0,12.26,0,0,1.53,0.77,0.77
120,0,1.96,0,1.96,0,170.5,0,1.96,0,11.76,0,0,0,1.96,1.96,0,0,0,0,23.52,0,0,0,205.78,0,13.72,9.8,0,1.96,3.92,0,0,11.76,0,1.96,0,0,0
