stage,blastomeres,epidermis,eye,glial,immune,lateral.line,mesenchyme,mucous,neural,notochord,otic,periderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,6,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0,2.3,0,0,1.15,0,4.02,0,0
 60-70,0,0,0.98,0,0,4.91,0,0,0,0,6.87,0,0
 72-82,0,0.98,0,0.98,0,8.83,0.98,0,1.96,0,13.74,0,0
 84-94,0,0,1.06,0,0,9.56,0,0,0,0,25.49,0,1.06
 96-106,0,0,0,1.09,1.09,21.86,0,0,3.28,0,39.34,0,0
108-118,0,0,0,0.77,0,16.85,0,0.77,1.53,0,20.68,0,0
120,0,0,0,0,5.88,15.68,0,0,7.84,0,21.56,0,0
