stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,7.89,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,12.59,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,40.91,0,0,3.15,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,8,27,2,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,12,10,0,1,0,1,0,8,0,5,1,13,1,0,0,14,0,0
 24-34,0,0,0,0,6.57,3.28,2.46,0,0,2.46,1.64,0.82,0.82,0,0.82,0.82,0,0,0,45.15,0.82,0,31.19,32.83,0,1.64,2.46,0,0,7.39,0,0,0,7.39,3.28,0,0,67.31,0,0
 36-46,0,0,0,0,6.45,0.81,2.42,0,0.81,1.61,0.81,0,0.81,0,0,0,2.42,0,0,64.45,1.61,0.81,30.62,29.81,1.61,0.81,7.25,0,0,8.86,0,0,1.61,0,1.61,0,0,42.7,0,0.81
 48-58,0,0,0,0,4.02,1.15,4.02,0.57,0,4.59,6.89,0,4.59,0.57,0,2.3,1.72,0.57,0.57,82.63,0.57,1.15,12.05,34.43,1.15,1.72,2.3,0,0,5.74,0,0,0.57,0,4.02,0,0,35.58,0,1.15
 60-70,0,0,0,0,5.89,0,9.82,0,2.94,0.98,10.8,0,3.93,0.98,0,2.94,0.98,0,0.98,141.34,0,3.93,10.8,26.5,1.96,1.96,1.96,0,0,6.87,0,0,0,0,2.94,0,4.91,40.24,0,0
 72-82,0,0,0,0,3.93,0,10.8,0,0,3.93,8.83,0,3.93,4.91,0.98,0,0,0,0,134.49,1.96,3.93,7.85,23.56,0,0,3.93,0,2.94,3.93,0,0,0,0,1.96,1.96,5.89,67.73,0,0
 84-94,0,0,1.06,0,5.31,1.06,16.99,0,1.06,4.25,6.37,0,3.19,7.43,1.06,5.31,0,2.12,1.06,91.34,2.12,2.12,6.37,19.12,0,2.12,4.25,0,0,7.43,0,0,0,0,0,0,1.06,38.23,3.19,1.06
 96-106,0,0,0,0,7.65,1.09,6.56,0,0,1.09,1.09,1.09,12.02,5.46,0,0,0,0,0,62.29,1.09,1.09,2.19,20.76,1.09,1.09,1.09,0,2.19,8.74,1.09,0,0,0,0,1.09,3.28,46.99,1.09,0
108-118,0,0,0,0,13.02,2.3,5.36,1.53,1.53,3.06,6.13,0.77,3.06,3.83,2.3,3.83,2.3,2.3,1.53,76.6,0,3.83,6.13,18.38,0,1.53,1.53,0,2.3,8.43,0,0,0,0,0,1.53,0.77,41.36,1.53,0.77
120,0,0,0,0,21.56,1.96,11.76,0,3.92,9.8,7.84,3.92,5.88,5.88,1.96,1.96,0,0,0,84.27,0,5.88,7.84,19.6,0,3.92,7.84,0,1.96,5.88,0,0,1.96,0,0,3.92,7.84,52.91,0,0
