stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,13.14,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,131.44,2.63,0,0,39.43,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,62.94,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,14,2,0,6,0,0,0,4,0,0,1,0,0,1,0,0,0,8,0,0,6,128,2,0,2,5,0,1,1,23,2,2,11,41,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0,0,18.88,0.82,1.64,0,5.75,0,0,0,0.82,0,0,0,0.82,0,15.6,0,0,11.49,251.18,0,1.64,0.82,0,0,7.39,0,0,0.82,0,4.1,61.56,0,2.46,0,2.46
 36-46,0,0,0,0,1.61,0.81,0,31.42,0,0,0,3.22,1.61,0,2.42,1.61,0,0,0.81,0.81,1.61,16.92,0,0,5.64,228,3.22,0,4.03,0,0,8.06,0,0,0,0,0,53.98,0,0.81,0,1.61
 48-58,0,0,0,0,2.3,0,0,47.05,0.57,1.72,1.72,13.2,0.57,0.57,1.15,1.15,0,0,0.57,0,0.57,20.08,0,0.57,8.03,137.14,0.57,0.57,1.15,0,0,5.74,0,0,0,0,0,30.99,0.57,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,0,64.78,0,0.98,0,7.85,0,0,1.96,0,0.98,0.98,0,0,0,22.58,0,0,5.89,119.75,0,0,0,0,0,5.89,0,0,0,0,0,10.8,0.98,1.96,0,0
 72-82,0,0,0.98,0,1.96,1.96,0,54.97,0,0,3.93,13.74,1.96,0,0,0,0,1.96,1.96,0.98,0,43.19,0,1.96,2.94,96.2,0.98,0,0.98,0,0.98,5.89,0,0,1.96,0,0,7.85,1.96,4.91,0.98,0.98
 84-94,0,0,1.06,0,10.62,3.19,1.06,42.48,0,0,0,10.62,2.12,0,1.06,3.19,4.25,1.06,0,0,2.12,25.49,2.12,0,4.25,55.23,1.06,0,5.31,0,1.06,18.05,0,0,2.12,1.06,0,6.37,0,2.12,1.06,1.06
 96-106,0,0,0,0,7.65,2.19,1.09,25.14,0,1.09,0,12.02,0,0,0,4.37,5.46,0,0,1.09,1.09,27.32,0,2.19,3.28,53.55,1.09,1.09,2.19,0,0,20.76,0,0,1.09,0,0,0,3.28,4.37,0,2.19
108-118,0,0,0.77,0,9.96,2.3,1.53,28.34,0,1.53,2.3,13.79,3.83,0,0,3.83,6.13,3.83,0.77,0.77,0.77,29.11,0,0,4.6,65.11,0,1.53,2.3,0,0.77,13.79,0,0,0.77,0,0,0.77,0.77,3.83,1.53,0
120,0,0,0,0,9.8,5.88,3.92,19.6,0,0,0,11.76,0,0,0,3.92,0,0,0,0,0,29.4,0,0,5.88,64.67,0,0,1.96,0,0,7.84,0,0,0,0,0,1.96,0,1.96,0,1.96
