stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,12.59,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,1,0,2,1,2,5,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,2.46,2.46,21.34,0,0,0,0,0.82,0,0,0,0,4.1,0.82,0.82
 36-46,0,0,0,0.81,0,3.22,0,0,0,0.81,0,0,0,0,0,0,1.61,0.81,27.39,0.81,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,1.15,0,4.59,0,0.57,0.57,4.02,0,0,0,0,0,0,1.15,0.57,15.49,0.57,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,1.96,0,11.78,0.98,0,0.98,0.98,0,0,0,0,0,0.98,5.89,0,10.8,1.96,0.98,0.98,0,0,0,0,0,0,3.93,0.98,0.98
 72-82,0,0,0,0,0,5.89,0,0,0.98,2.94,0,0,0,0,0,0,6.87,0,15.71,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,3.19,0,1.06,0,1.06,0,0,1.06,0,1.06,0,5.31,0,3.19,1.06,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,7.65,0,0,0,5.46,0,1.09,0,1.09,0,0,8.74,0,2.19,1.09,1.09,0,0,0,0,0,1.09,0,1.09,1.09,1.09
108-118,0,0,0,1.53,0,3.83,0,0,0,0.77,1.53,0,0,0,0.77,0,2.3,0,7.66,1.53,0,0.77,0,0.77,0,0,0,0,1.53,0,0
120,0,0,0,3.92,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0
