stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,1,0,0,98,0,0,0,0,1
 24-34,0,8.21,0.82,1.64,0.82,0,15.6,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0.82,0,0,0.82,421.1,0,13.95,0,0,2.46,0.82,0,244.62,0,0,0.82,0,1.64
 36-46,0,3.22,0,0.81,0,0,25.78,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,1.61,875.76,0.81,27.39,0,0,0.81,0,0,321.46,0,0,0,0,1.61
 48-58,0,2.3,0,1.15,0,0,180.17,0,0.57,0,12.62,0,2.87,0,0,0,0,0.57,0,8.03,0,0.57,2.3,848.66,0,14.92,0.57,0,1.72,0.57,0,261.08,0,0,0.57,0,2.87
 60-70,0,1.96,0,1.96,0,0,1193.53,0,1.96,0,27.48,1.96,0,0,0,0,0.98,0,0,13.74,0.98,0.98,0.98,1312.29,1.96,17.67,0.98,0,2.94,0,0,218.88,0,0,2.94,0,1.96
 72-82,0,2.94,0,21.6,1.96,0,2787.92,0,0.98,2.94,92.28,1.96,2.94,1.96,0.98,4.91,0.98,1.96,0.98,60.86,0.98,2.94,1.96,1474.46,0,28.47,1.96,1.96,3.93,0.98,0,117.8,0,0.98,6.87,0,6.87
 84-94,0,4.25,0,27.61,6.37,1.06,1886.18,1.06,0,2.12,73.28,0,4.25,0,2.12,2.12,0,0,0,42.48,0,2.12,1.06,795.47,1.06,15.93,1.06,0,8.5,0,0,58.41,1.06,5.31,7.43,2.12,1.06
 96-106,0,2.19,0,28.41,7.65,0,1690.63,4.37,2.19,0,55.74,0,5.46,7.65,1.09,0,0,2.19,1.09,26.23,3.28,2.19,0,585.77,2.19,27.32,2.19,0,5.46,2.19,1.09,22.95,3.28,1.09,9.84,1.09,4.37
108-118,0.77,0.77,0.77,13.79,1.53,0,1220.18,0,0,0,34.47,0.77,3.83,3.06,0,0,0.77,0.77,0,33.7,0,1.53,1.53,848.69,0.77,26.04,2.3,0,4.6,0,0,22.98,0.77,0.77,2.3,0,0
120,0,1.96,0,15.68,0,0,1032.81,0,3.92,0,29.4,0,3.92,3.92,0,0,1.96,1.96,0,29.4,0,0,1.96,638.89,0,17.64,0,0,5.88,0,0,17.64,0,0,0,0,0
