stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,8.21,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,0,14.5,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0.57,0,0,0,0,0,1.15,0,4.59,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,30.43,0,0,0,0,0,0,0,0.98,0,5.89,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,107,0.98,1.96,0,0,0,0,0,1.96,0,10.8,0,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,108.33,0,0,0,0,1.06,0,1.06,1.06,1.06,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,106.01,0,1.09,0,0,1.09,0,0,1.09,0,2.19,0,0,4.37,0,0,0,0,0,1.09
108-118,0,0,0,0,70.47,0,0,0.77,0.77,0.77,0.77,0,1.53,0,4.6,0,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,64.67,0,3.92,0,1.96,0,0,0,3.92,0,7.84,0,0,0,0,0,0,0,1.96,0
