stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,23,2,0,15,0,0,0,6,0,0,0,1,0,0,0,0,15,0,0,5,518,0,0,10,1,0,3,2,0,1,4,129,0,0,0,0,1
 24-34,0,0.82,2.46,7.39,0.82,0,22.16,0,0.82,0.82,11.49,0,0.82,0,4.93,0,13.13,0,0,27.91,1.64,0.82,18.06,658.33,0.82,3.28,13.13,0,0,9.85,0,0,0,1.64,147.75,0,0,0,0,1.64
 36-46,0,0,0,3.22,0,0,17.72,0,0,0.81,16.11,0,0.81,0,3.22,1.61,4.83,0,0,50.76,0,0,13.7,379.47,0,2.42,4.83,0,0,15.31,0,0,0,0,123.27,0,0,0,0,3.22
 48-58,0,0,0,3.44,0,0,29.84,0,1.15,1.15,30.99,0,0.57,0,0,2.3,13.2,0,0.57,74.02,0.57,0.57,9.75,255.92,0,1.72,5.16,0,0.57,4.02,0,0,0,0,65.99,0,0,0,0,2.3
 60-70,0,0,0,3.93,0,0,20.61,0,1.96,1.96,33.37,0.98,0,0,0.98,0,9.82,0,0,91.28,0,0.98,11.78,220.84,0,0,2.94,0,0.98,2.94,0,0,0,0,32.39,0,0,0,0,3.93
 72-82,0,0,0,4.91,0,0,36.32,0,0.98,2.94,46.14,0,0,0,0,0.98,18.65,0,0,164.92,0,1.96,19.63,256.21,0,0.98,6.87,0,1.96,3.93,0,0.98,0,0,33.38,0,1.96,1.96,0.98,3.93
 84-94,0,0,0,4.25,1.06,0,29.74,0,2.12,3.19,24.43,0,2.12,1.06,0,6.37,10.62,1.06,0,121.07,0,0,9.56,141.25,0,1.06,13.81,0,0,8.5,0,0,0,0,18.05,1.06,1.06,0,0,6.37
 96-106,0,0,0,6.56,0,1.09,19.67,1.09,2.19,3.28,27.32,1.09,0,1.09,0,2.19,17.49,0,0,98.36,0,2.19,7.65,143.16,0,0,9.84,0,0,5.46,0,0,0,0,7.65,0,2.19,0,2.19,14.21
108-118,0,0,0,3.06,0,0,19.92,1.53,1.53,3.83,26.04,0.77,0.77,0.77,3.06,4.6,9.19,0,0,81.96,0,2.3,10.72,178.47,0,0.77,12.26,0,0,3.06,0,0,0,0,7.66,0,1.53,0,0.77,13.02
120,0,0,0,9.8,1.96,0,23.52,0,3.92,0,11.76,1.96,1.96,0,0,1.96,5.88,0,0,64.67,0,1.96,9.8,107.79,0,0,17.64,0,0,0,0,0,0,0,11.76,0,0,1.96,1.96,11.76
