stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,158.14,4058.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,42.91,809.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,18.4,7.89,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,9.44,0,31.47,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,6,0,0,0,1,0,0,0,0,8,0,0,3,29,1,0,0,1,15,0,1,10,12,0,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,9.03,0.82,0,0,1.64,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,1.61,0,0,0,0,0,1.61,0,0,0,8.06,0,0,0,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0,1.15,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,0,0.98,1.96,0.98,0,1.96,0,0,1.96,0,1.96,0,2.94,0,0.98,0,3.93,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,0,0,2.12,0,4.25,0,0,2.12,0,0,1.06,1.06,0,0,0,4.25,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,1.09,0,0,0,0,1.09,0,2.19,0,0,0,2.19,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,2.3,1.53,0,0,0.77,0.77,0,2.3,0.77,1.53,0.77,0.77,0.77,0.77,1.53,0,0.77,0,6.13,0,0,0,0,0.77,0.77,0.77,0.77
120,0,0,0,0,3.92,0,0,0,0,0,3.92,0,1.96,0,0,0,1.96,0,0,1.96,1.96,0,0,9.8,0,0,0,0,0,0,0,0
