stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,0,4.1,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0,16.92,0,0,0,0,0,0,0,0,0,0,0.81,3.22,0,4.83,0,0,3.22,0,0,0,0,0
 48-58,0,0,1.72,0,0,131.4,0,1.15,0,0,0,0,0,0,0,0,0.57,9.75,0,2.3,0,0,1.15,0,0,0,0,0
 60-70,0.98,0,0,0,0,320.96,0,0,0,0,0,0,0,0,3.93,0,0.98,14.72,0,3.93,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,342.6,0,3.93,0,0,0,0,0.98,0,0.98,0,0,20.61,0,10.8,0.98,0,0.98,0.98,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,224.09,0,8.5,1.06,0,0,1.06,1.06,0,4.25,1.06,0,18.05,0,8.5,0,0,3.19,0,2.12,0,1.06,0
 96-106,0,0,2.19,1.09,1.09,201.08,0,4.37,1.09,0,1.09,0,0,2.19,1.09,0,2.19,8.74,0,7.65,1.09,0,0,0,0,1.09,0,0
108-118,0,0,2.3,0,0,159.32,0.77,3.83,0,0,0,0,0,0.77,0.77,0,0.77,13.79,0,3.83,0,0,0,2.3,0.77,0,1.53,0
120,0,0,3.92,0,0,143.06,0,5.88,0,0,0,1.96,0,0,3.92,0,0,13.72,1.96,3.92,0,0,1.96,0,0,0,0,0
