stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,1,0,4,0,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,0,9.03,0,0,0,0,0,0,0,1.64,0.82,0.82,0.82,0,1.64,0.82,0,0,44.33,0,0.82,0,0,0,4.1,2.46,0,1.64,10.67,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0,1.61,0.81,0,0.81,0,0,0,0,0,4.83,0,0,2.42,47.53,0,1.61,0.81,0,0,1.61,2.42,0,0,10.47,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,45.9,0,1.15,0.57,14.35,0,0,0,0,0,0.57,0,1.15,13.77,0.57,0,1.72,78.04,0,2.3,2.3,0,0,2.3,5.74,0,0,13.77,0,0,1.15,0,1.15
 60-70,0,0.98,0,1.96,0,0,75.58,0,0,0.98,30.43,2.94,0,0.98,0,1.96,0,0.98,0.98,30.43,0.98,0,0.98,97.17,0,2.94,0,0,0,1.96,13.74,0,0,5.89,0,2.94,0,0,1.96
 72-82,0,0.98,0,3.93,0,0,73.62,0,0,0,30.43,6.87,0,0.98,0.98,0.98,0.98,1.96,0,43.19,0,0,0.98,93.26,0,3.93,0,0,0,1.96,51.05,0,0,9.82,0.98,0.98,1.96,2.94,1.96
 84-94,0,3.19,0,10.62,3.19,0,53.1,0,0,2.12,11.68,10.62,0,4.25,1.06,5.31,1.06,0,2.12,22.3,0,2.12,2.12,61.6,0,3.19,3.19,0,1.06,21.24,90.27,0,0,3.19,2.12,0,9.56,0,2.12
 96-106,0,0,0,5.46,0,0,30.6,0,0,2.19,25.14,21.86,0,0,5.46,2.19,0,0,2.19,10.93,0,1.09,2.19,51.36,0,0,1.09,0,0,10.93,88.52,0,0,0,1.09,2.19,5.46,0,2.19
108-118,0,0,0,4.6,0,3.06,29.87,0.77,2.3,0,17.62,44.43,0,3.06,1.53,1.53,0.77,0.77,3.06,12.26,0.77,0,2.3,49.02,0.77,0.77,1.53,0,0,7.66,94.98,0,0,0,0.77,0.77,3.06,0.77,1.53
120,0,0,0,9.8,3.92,0,17.64,0,0,0,13.72,47.03,1.96,3.92,1.96,0,1.96,1.96,0,7.84,0,1.96,0,45.08,1.96,3.92,1.96,0,0,5.88,62.71,0,0,0,0,1.96,3.92,1.96,1.96
