stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,26,2,21,0,0,0,1,0,1,0,7,0,0,0,0,13,0,0,5,21,0,2,1,68,1,0,0,2,8,0,0,0,0,0
 24-34,0,0,3.28,0.82,25.45,0,0.82,0,0,0,1.64,0,4.1,0,0,0,0,4.93,0,0,2.46,14.78,0,0,0,53.36,0,0.82,0,0,9.03,0,0,0,0,0
 36-46,0,0,0.81,0,23.36,0,0,0,0.81,0,0.81,0,0.81,0,0,0,3.22,9.67,0,0,0.81,6.45,0,0,0,40.28,0,0.81,0,0,2.42,0,0,0,0,1.61
 48-58,0,0,1.15,0,48.2,0,0,0,1.72,0,0.57,0,0,0.57,0,0,6.89,4.59,0,0.57,0,13.2,0,0,0,12.62,0,0,0,0,3.44,0,0,0,0,0.57
 60-70,0,0,0.98,0,216.92,0.98,0,0,0.98,0,0,0,0,0,0,0,2.94,5.89,0,0,0.98,4.91,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,1.96
 72-82,0,0,1.96,1.96,468.25,0,0,0,14.72,0,0.98,0,0,0,0,0,6.87,1.96,0,0.98,0,18.65,0,0,0,1.96,0,0,0,0,0,0.98,0,2.94,0,1.96
 84-94,0,0,5.31,0,529.96,0,0,0,8.5,1.06,0,0,1.06,0,0,2.12,13.81,3.19,0,1.06,0,8.5,1.06,1.06,0,8.5,0,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,3.28,1.09,360.64,0,1.09,0,6.56,0,0,1.09,0,0,1.09,0,7.65,3.28,0,0,0,17.49,1.09,0,0,3.28,0,0,0,0,0,1.09,0,0,0,2.19
108-118,0,0,2.3,0,362.3,0.77,0,1.53,9.96,0,0,0,0,0,0,0,10.72,7.66,0,0,2.3,12.26,0,2.3,0,0.77,0,0,0,0,1.53,0,0.77,0,1.53,2.3
120,0,0,3.92,1.96,211.66,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,1.96,5.88,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0
