stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,2,48,63,1,0,18,0,1,0,17,0,11,7,0,1,0,0
 24-34,0,0,1.64,0.82,0,0.82,0,0.82,0,0,0,3.28,0.82,0.82,0,0,36.12,0,1.64,59.1,61.56,3.28,2.46,0,0,1.64,0,0,0.82,8.21,9.85,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,21.75,0,3.22,45.12,13.7,7.25,1.61,0,0,0,0,0,0,0,14.5,0,0.81,0,0
 48-58,0,0,0,0,0,2.87,0,0.57,2.3,0,0,0,0,0,0,0,11.48,0.57,1.72,17.79,9.75,0.57,1.15,0,0,2.3,0,0,0,0,7.46,0,0.57,0,0
 60-70,0,0,0,0.98,0,3.93,0,0.98,0.98,0,0,0,0,0,0,0,10.8,0.98,0.98,19.63,7.85,2.94,0,0,0,0,0,0,0,0,6.87,0,0.98,0.98,0.98
 72-82,0,0,0,0,0,5.89,0.98,0,7.85,0.98,0,0,0,0,0,0,12.76,0,0.98,15.71,1.96,0,0,0,0,0.98,0,0,0,0,12.76,0,0,0.98,0.98
 84-94,1.06,0,2.12,0,0,5.31,1.06,0,8.5,0,0,0,0,0,2.12,0,6.37,0,1.06,5.31,1.06,1.06,0,0,0,1.06,0,0,1.06,0,7.43,1.06,0,0,0
 96-106,0,0,2.19,0,0,3.28,0,0,2.19,0,0,0,0,0,0,0,7.65,1.09,1.09,6.56,2.19,4.37,0,0,1.09,1.09,0,0,0,0,6.56,2.19,0,1.09,3.28
108-118,0,0,0,0,0,0,0,0,3.06,0.77,0,0,0,0,0,0.77,6.13,0,0,6.89,3.83,0.77,0,0,1.53,0,0,0,0,0,3.06,0,0,0,3.06
120,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,1.96
