stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,1,1,0,0,0,1,2,0,0,39,1,0,0,0,0,1,0,26,0,2,0,0
 24-34,0,0,1.64,0,7.39,0,0.82,0,0,0,0,2.46,1.64,0,0.82,171.56,0,0,0.82,0,0,0,0,36.12,0,9.03,0,3.28
 36-46,0,0,0,0,14.5,0,3.22,0,0.81,1.61,0,0,5.64,0,0.81,216.73,0,0,0,0,0.81,0,0,49.95,0,7.25,0,1.61
 48-58,0,0,0,0,61.97,0.57,3.44,0,0,0.57,0,1.15,5.74,0,1.15,171.57,0.57,0,0,0,1.72,0,0,40.17,0,1.72,0,4.02
 60-70,0,0,0,0,99.13,0.98,1.96,0,0,3.93,0,0,13.74,0.98,0,194.34,0,0,0,0,0,0,0,31.41,0,4.91,0,1.96
 72-82,0,0,1.96,0,86.39,0,3.93,0,0,0,0,0.98,4.91,0,0,117.8,0,0,0,0,0.98,0,0,19.63,0,4.91,0.98,0
 84-94,0,1.06,3.19,0,56.29,1.06,0,0,5.31,4.25,1.06,6.37,6.37,0,0,72.22,0,1.06,1.06,0,4.25,0,3.19,9.56,0,4.25,1.06,1.06
 96-106,0,0,0,1.09,31.69,1.09,5.46,1.09,1.09,4.37,0,1.09,2.19,0,0,42.62,0,1.09,1.09,0,0,0,0,1.09,0,8.74,0,3.28
108-118,0,0,0,0.77,26.81,0,3.06,0,1.53,1.53,0.77,2.3,6.13,0,0,61.28,2.3,0.77,0,0,0,0,0.77,4.6,1.53,5.36,0.77,5.36
120,0,0,0,0,19.6,0,1.96,0,1.96,0,0,0,0,0,0,41.16,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96
