stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0.81,0,2.42,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,1.15,0,2.3,0.57,0,2.3,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,0.98,0.98,0.98,3.93,1.96,0,2.94,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,1.06,1.06,0,9.56,0,1.06,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,1.09,1.09,0,2.19,1.09,0,12.02,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0.77,0,0.77,0,0,6.13,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
