stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,1,0,1,5,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,12.31,0.82,0,0,0,0.82,20.52,1.64,0,0,0,0,0,0,0.82,0,6.57,0,1.64,0,1.64
 36-46,0,0,0,0.81,0,0,5.64,0,0.81,0,2.42,0,0.81,0,0,2.42,0,10.47,10.47,5.64,0,0,1.61,29.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,5.64
 48-58,0,0,0,0.57,0.57,0,6.31,0,0.57,0,0.57,0,0,0,0,5.74,0,12.62,11.48,5.74,0,0.57,0,33.28,0,0,0,0,0,0,0,0,0,4.59,0,1.15,0,12.05
 60-70,0,0,0,0,0.98,0,12.76,0,0,0,1.96,0,0,0,0,15.7,0,14.72,18.65,3.93,0.98,1.96,0.98,42.21,0,0.98,0,0,0.98,0.98,0,0,0,11.78,0.98,0,0,15.7
 72-82,0,0,0,0.98,0,0,6.87,0.98,0,0,6.87,0,0,0,0,27.49,0,14.72,16.69,6.87,0,0,0,31.41,0,0.98,0.98,0,0.98,1.96,0,0,0,3.93,0,0,0,11.78
 84-94,0,0,0,3.19,1.06,0,16.99,0,1.06,0,6.37,1.06,0,0,0,16.99,0,9.56,9.56,4.25,0,0,3.19,14.87,0,0,2.12,0,0,0,0,0,0,2.12,0,0,0,4.25
 96-106,0,1.09,0,5.46,3.28,0,25.14,0,0,0,5.46,2.19,0,3.28,0,29.51,1.09,41.53,9.84,13.11,2.19,3.28,0,38.25,2.19,5.46,1.09,0,0,7.65,0,0,0,3.28,0,2.19,1.09,14.21
108-118,0,0,0,1.53,0,0.77,8.43,0,0.77,0.77,3.06,0.77,0,0.77,1.53,20.68,0,113.36,5.36,7.66,0.77,0.77,0.77,19.15,0,1.53,1.53,0,0,2.3,0,0,0,0,0,0,0,4.6
120,0,0,0,1.96,0,0,1.96,0,0,0,7.84,0,0,0,0,29.4,0,52.91,5.88,1.96,0,1.96,0,31.36,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,3.92
