stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,17,0,1,0,1,0,1,0,1,16,0,1,0,0
 24-34,0,1.64,0,2.46,0,5.75,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,85.37,0,0.82,0,0,1.64,0,1.64,0.82,20.52,0,1.64,0,0
 36-46,0,0,0,0,0,11.28,0,0,2.42,0,0,0,0,0,0,0,0,3.22,0,0,0.81,179.66,0,3.22,0.81,0,2.42,0,0,0,29,0,0.81,0,5.64
 48-58,0,0,0,0.57,0,36.15,0,0,1.72,0,0,0,0.57,0.57,0.57,0,0,4.59,0,0,1.72,184.19,0,3.44,0,0,1.15,0,0,0,28.69,0,1.72,0,2.3
 60-70,0,0,0,0.98,0,89.32,0,0,2.94,0.98,0,0,0,0,0.98,0.98,0,6.87,0,0.98,0.98,267.96,0,1.96,0.98,0,0,0,0,0,32.39,0,0,0,7.85
 72-82,0,1.96,0,1.96,0.98,99.15,0.98,0,8.83,0,0,0.98,0,0,2.94,0,0,7.85,0.98,0,0,225.78,0,0,0.98,0,0,0,0,0,11.78,0.98,0.98,0.98,2.94
 84-94,0,1.06,0,3.19,1.06,79.65,2.12,1.06,2.12,0,0,1.06,0,0,1.06,0,1.06,7.43,0,0,2.12,104.08,0,2.12,2.12,0,5.31,0,0,0,2.12,0,0,0,2.12
 96-106,0,1.09,0,1.09,0,46.99,1.09,1.09,6.56,1.09,0,0,0,0,4.37,0,0,2.19,0,0,1.09,86.33,0,4.37,0,0,1.09,0,0,0,2.19,0,1.09,0,4.37
108-118,0,0.77,0,2.3,3.06,46.72,1.53,0,4.6,0,0,0,0,0,3.83,0.77,0,4.6,0,0,1.53,104.94,0.77,3.06,0,0,1.53,0,0,0,2.3,0,0.77,0,3.06
120,0,0,0,7.84,0,66.63,3.92,0,9.8,0,0,1.96,0,0,1.96,0,0,7.84,0,0,1.96,160.7,0,1.96,0,0,0,0,0,0,3.92,0,0,0,3.92
