stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1410.04,24484.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,1158.5,11554.36,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.76,12.26,0,0,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,21.03,0,26.29,0,0,13.14,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,415.34,15.77,0,0,160.35,0,92,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,31.47,0,0,110.14,3.15,62.94,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,16,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,3,120,12,10,1,0,1,15,4,0,10,22,105,0,0,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,12.31,11.49,0,0.82,12.31,0,0,2.46,0.82,4.1,0,0,0,0,15.6,0,0,12.31,449.01,0,36.12,11.49,0,1.64,0.82,0,4.1,70.59,17.24,259.39,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,55.59,20.95,0,0.81,12.09,0.81,0,2.42,2.42,0,0,0,0.81,0,6.45,0.81,0,4.03,721.07,1.61,21.75,3.22,0.81,0.81,0,0,0.81,72.51,0.81,238.48,0,0,0.81,0,0
 48-58,0,0,0.57,0,2.3,0,125.66,10.9,0.57,0,9.18,0,0,0.57,3.44,0,0,0.57,0.57,0,6.89,0,0.57,2.3,565.77,0,10.33,5.74,0,0.57,0,0,2.3,73.45,0,132.55,0,0,0,0,0.57
 60-70,0,0,0.98,0,4.91,0,447.57,5.89,0.98,0.98,27.48,0,0,1.96,9.82,2.94,0,2.94,0,0,11.78,0,0,1.96,773.44,0.98,1.96,18.65,0,1.96,0,0,2.94,35.33,0,109.93,0,6.87,0,0,0.98
 72-82,0,0,0,0,1.96,1.96,738.21,7.85,0,0.98,21.6,0.98,0,0.98,12.76,0,0,0.98,0,0,12.76,0,0,2.94,535.01,0,6.87,12.76,0,0,0,0,3.93,18.65,0,40.25,0,24.54,0.98,0,0.98
 84-94,0,0,0,0,7.43,2.12,636.16,5.31,3.19,0,13.81,0,0,1.06,19.12,2.12,0,3.19,0,0,7.43,0,0,5.31,282.5,0,6.37,24.43,0,0,0,0,5.31,20.18,0,19.12,1.06,27.61,2.12,1.06,0
 96-106,0,0,0,0,5.46,1.09,501.62,9.84,0,0,20.76,1.09,0,1.09,26.23,2.19,2.19,6.56,2.19,0,6.56,0,0,2.19,199.99,0,1.09,27.32,0,4.37,0,0,3.28,27.32,0,8.74,0,28.41,1.09,1.09,1.09
108-118,0,0,0.77,0,9.19,1.53,327.83,7.66,1.53,0.77,9.96,1.53,0,0,22.98,1.53,0,3.83,1.53,0,6.89,0,0.77,2.3,203.75,0.77,7.66,19.15,0,4.6,0,0,3.83,12.26,0,1.53,1.53,39.06,0.77,0,0
120,0,0,0,0,5.88,0,239.09,3.92,1.96,0,3.92,0,0,0,17.64,0,0,1.96,0,1.96,3.92,1.96,0,1.96,199.9,0,5.88,13.72,0,5.88,0,0,1.96,1.96,0,1.96,1.96,15.68,1.96,0,0
