stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0
 24-34,6.57,0.82,0,4.1,0,0,0,0,0,0,0,0.82,0,0,79.62,0.82,0,0,0,0,0,0,0,37.76,0,0,0,0
 36-46,1.61,0.81,0,4.03,0,0,0,1.61,0,0,0,0,0,0,207.86,0,0,0,0,0.81,0,0,0,58.01,0,0,0,0
 48-58,1.72,1.15,0,59.68,0,0,0,8.03,0,0,0,1.72,0,0.57,226.08,0.57,0,0,0,0.57,0,0,0.57,49.92,0,0,0,1.15
 60-70,0.98,0.98,0,339.61,0,0,0,20.61,0,0,0,2.94,0,0.98,527.08,0.98,0,0,0,0,0,0,0,55.95,0,0,0,0.98
 72-82,0.98,6.87,0.98,601.76,0,0,0.98,28.47,0.98,0,0,5.89,0,1.96,566.42,0.98,0,0,0.98,0,0,0,0,54.97,0,1.96,0,0
 84-94,2.12,8.5,0,453.49,0,1.06,0,18.05,3.19,0,1.06,10.62,1.06,0,320.74,0,0,0,0,1.06,0,0,0,20.18,0,1.06,1.06,0
 96-106,1.09,10.93,0,373.75,1.09,1.09,0,14.21,2.19,0,1.09,6.56,0,2.19,302.72,0,1.09,0,0,0,1.09,0,0,16.39,0,2.19,0,0
108-118,2.3,3.06,0.77,253.53,0,0.77,0,9.96,0,0,0,7.66,0,0.77,306.39,0.77,0.77,0,0,0,0,0.77,0,6.13,0.77,0,0,0
120,1.96,3.92,0,235.17,0,0,0,9.8,0,0,0,11.76,0,0,421.35,0,0,0,0,0,0,0,0,13.72,0,1.96,0,0
