stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,1,1,0,0,0,0,0,0,84,0,0,0,0,0
 24-34,0,0.82,0,0,0,3.28,0,0,0,0,0,0.82,0,1.64,0,0,0,0,9.03,0,0.82,407.14,4.1,14.78,0,0,0,1.64,0,0,0,171.56,0,0,0,0,0
 36-46,0,0.81,0,0,0,23.36,0,0,0.81,2.42,0,0,0,0,0,0,0,0.81,3.22,0,1.61,855.62,0.81,20.95,0.81,0,0,1.61,0,0,0,219.95,0,0,0,0,0
 48-58,0,0.57,2.3,0.57,0,98.69,0,0.57,1.15,17.79,0,0,0.57,0,0,0,0.57,0.57,10.33,0,2.87,1009.9,0,13.77,0.57,0,0,2.3,0,0,0,195.09,0,0,0.57,0,1.72
 60-70,0,0.98,0.98,1.96,0,381.81,0,0.98,2.94,19.63,0,0,1.96,0,0,0,0,0,16.69,0,1.96,1714.72,0.98,15.7,0,0,0,2.94,0,0.98,0,257.16,0,0.98,0.98,0.98,1.96
 72-82,0,0.98,7.85,4.91,0,544.82,0,0.98,2.94,42.21,1.96,0.98,2.94,0,1.96,0,0.98,0,33.38,0.98,3.93,1655.08,0,18.65,2.94,0,0,0.98,0,0.98,0.98,161.97,0,0,5.89,1.96,0.98
 84-94,0,0,15.93,2.12,0,350.47,0,1.06,0,38.23,0,1.06,3.19,0,1.06,0,1.06,0,22.3,0,1.06,935.65,0,8.5,3.19,0,0,4.25,0,0,0,92.4,1.06,4.25,1.06,0,0
 96-106,0,1.09,12.02,8.74,3.28,342.06,0,1.09,2.19,48.09,2.19,0,2.19,0,0,0,1.09,0,31.69,0,3.28,791.22,2.19,26.23,0,0,0,4.37,1.09,0,0,43.71,1.09,0,2.19,0,0
108-118,0,1.53,7.66,0,0,247.41,1.53,0.77,0,42.89,3.06,0,0.77,0,1.53,2.3,0.77,0,18.38,0,2.3,965.88,0,13.02,0.77,0,0,3.83,0,0,0,29.87,0.77,1.53,1.53,0,0.77
120,0,0,17.64,3.92,0,237.13,0,1.96,0,43.12,3.92,0,0,3.92,1.96,1.96,0,0,11.76,0,1.96,1107.28,0,19.6,1.96,0,1.96,3.92,0,0,0,60.75,0,0,3.92,1.96,0
