stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,15,2,2,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,24,0,3,1,1,2,0,1,2,8,0,0,0
 24-34,0,0,0,1.64,4.1,1.64,3.28,1.64,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,2.46,33.66,0,4.93,0.82,0,6.57,0,0,0,11.49,0,2.46,0
 36-46,0,0,0,0,0.81,1.61,2.42,0.81,0,3.22,0,0,0,0,0,0,0,0,4.03,0,0,0,57.2,0,2.42,0.81,0,5.64,0.81,0,0,11.28,0,0,0
 48-58,0,0.57,0.57,0,0.57,0,6.89,0.57,0.57,3.44,0,0.57,0,0,0,0,0.57,0,4.02,0,0.57,1.15,36.72,0.57,2.87,0,0,4.59,0,0.57,0,7.46,0,0,0
 60-70,0,0,0,0,0.98,0,22.58,0,0,3.93,0,0.98,0.98,0,0.98,0,0,0,7.85,0.98,0,0,76.56,0,3.93,0,0,7.85,0.98,0,0,2.94,0,0.98,0
 72-82,0,0,0.98,0,0,0.98,16.69,0,0,6.87,1.96,0.98,0,0,0.98,1.96,0,0,8.83,2.94,0,0,40.25,0,3.93,1.96,0,8.83,0,0,0,5.89,0,0,0
 84-94,0,0,0,0,8.5,0,11.68,0,0,3.19,1.06,1.06,0,2.12,2.12,0,0,0,4.25,0,1.06,0,21.24,0,4.25,1.06,0,36.11,2.12,0,0,2.12,1.06,0,1.06
 96-106,0,0,0,0,9.84,1.09,7.65,2.19,0,4.37,1.09,0,1.09,1.09,0,0,1.09,0,4.37,1.09,0,2.19,21.86,0,7.65,1.09,0,21.86,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,9.96,0,8.43,1.53,0.77,5.36,4.6,0,0,0.77,2.3,2.3,0.77,0,4.6,2.3,0,0.77,38.3,0.77,0.77,3.06,0,25.28,3.83,0,0,0.77,2.3,1.53,0
120,1.96,0,0,0,11.76,1.96,1.96,0,1.96,1.96,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,29.4,0,9.8,1.96,0,11.76,0,0,0,0,7.84,0,0
