stage,blastomeres,eye,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,105.42,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,0,0,0,0,0,6.13,6.13,0,0,0
  7-9,2.63,0,0,0,5.26,2.63,5.26,0,0,0,0
 10-12,0,0,0,0,9.44,3.15,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0.57,0,0,4.02,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,0,0
