stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,34.62,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,67,0,61,15,0,0,8,0,0,10,0,16,3,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,0.82,0.82,3.28,0,0.82,0,0,0.82,0,210.96,0,82.91,42.68,1.64,0,0,0,2.46,0,0,9.03,3.28,0,0,0,0.82
 36-46,0,0,0,1.61,0,0.81,0,1.61,9.67,0,0,0,0,0,0,196.58,0.81,44.31,14.5,2.42,0,0,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0,0,1.72,0.57,0,6.31,0,0.57,9.75,0,0,0.57,0,1.15,0,197.96,0.57,29.84,33.28,0,0,0,0.57,0,0,0.57,0,2.87,0,0,0,0
 60-70,0,0,0.98,1.96,0,10.8,0.98,2.94,10.8,1.96,0,0.98,0,0,0.98,252.25,0.98,18.65,23.56,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0.98,0.98,0,16.69,0,1.96,25.52,1.96,0,0.98,0,0,0,348.49,5.89,18.65,18.65,0,0,0,0,0.98,0,0,0,1.96,3.93,0.98,2.94,0.98
 84-94,0,0,0,0,0,26.55,0,1.06,24.43,1.06,0,0,0,1.06,0,244.27,2.12,11.68,5.31,0,1.06,0,0,0,0,0,0,1.06,3.19,0,1.06,0
 96-106,0,0,1.09,0,1.09,10.93,0,0,6.56,1.09,0,0,0,0,1.09,187.97,0,5.46,15.3,0,0,0,2.19,0,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,1.53,0,5.36,0,1.53,11.49,1.53,0,0,0.77,0,0,143.24,0.77,8.43,12.26,0,0,0,0,0.77,0,0,0,0.77,2.3,0,1.53,0
120,0,0,1.96,0,0,3.92,0,0,23.52,3.92,0,0,0,0,1.96,164.62,1.96,9.8,7.84,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0
