stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,9.44,0,0,31.47,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,238,5,0,27,0,5,0,8,6,1,0,0,0,0,2,0,49,0,0,44,193,49,1,1,4,0,23,6,5,36,24,74,0,0,5,0,0
 24-34,0,0,0,7.39,210.96,0.82,0,64.03,0,27.09,0.82,23.8,5.75,13.95,0.82,0,0,2.46,1.64,0,174.84,1.64,1.64,106.71,481.02,48.43,3.28,12.31,0,1.64,68.95,0.82,1.64,69.77,9.85,143.65,0,0,33.66,0,0
 36-46,0,0,0,2.42,124.07,0,0,136.16,2.42,45.92,9.67,53.98,4.03,19.34,0.81,0.81,1.61,1.61,1.61,4.83,386.72,0,9.67,109.57,965.19,76.54,8.06,17.72,0,0.81,54.79,0,1.61,58.81,0,259.43,0,0.81,53.17,0,0.81
 48-58,0,0,0,0.57,73.45,2.3,0,157.8,2.87,39.59,17.21,70.58,2.87,14.92,2.3,0,2.87,1.15,0.57,6.31,503.23,0.57,28.69,92.38,778.08,87.22,1.72,24.67,0,5.16,24.1,0,1.72,17.21,0,176.16,0,3.44,50.49,0.57,5.16
 60-70,0,0,1.96,0,84.41,0.98,0,376.9,9.82,45.15,28.46,96.19,9.82,9.82,2.94,0,10.8,0.98,0,3.93,866.68,0.98,49.08,84.41,1149.36,53,5.89,34.35,0,3.93,22.58,0,2.94,16.69,0,177.66,0,13.74,51.04,10.8,5.89
 72-82,0,0,1.96,1.96,127.62,4.91,0,332.78,9.82,45.16,40.25,93.26,23.56,15.71,0.98,3.93,14.72,0.98,1.96,3.93,1367.45,1.96,66.75,104.06,953.19,62.83,8.83,56.94,0.98,11.78,10.8,0,2.94,7.85,0,84.42,1.96,49.08,95.22,44.17,11.78
 84-94,1.06,0,0,2.12,292.06,4.25,0,312.24,11.68,91.34,28.68,63.72,49.92,7.43,11.68,3.19,22.3,0,5.31,14.87,953.71,2.12,50.98,71.16,472.61,82.84,3.19,49.92,0,7.43,44.61,0,5.31,5.31,0,40.36,1.06,40.36,72.22,42.48,3.19
 96-106,0,0,2.19,3.28,492.87,2.19,0,239.33,18.58,121.31,27.32,83.06,48.09,9.84,6.56,6.56,38.25,6.56,8.74,5.46,972.63,3.28,55.74,83.06,456.81,72.13,4.37,85.24,0,18.58,18.58,0,5.46,3.28,0,27.32,2.19,54.64,119.12,56.83,4.37
108-118,0.77,0,0,8.43,568.34,2.3,0.77,184.6,14.55,144,31.4,55.92,43.66,9.96,10.72,2.3,41.36,1.53,7.66,9.96,805.03,2.3,45.96,70.47,396,73.53,4.6,68.17,0,9.96,12.26,0,9.19,5.36,0,22.21,2.3,38.3,88.85,33.7,9.96
120,0,0,0,1.96,374.32,3.92,0,164.62,23.52,107.79,27.44,50.95,25.48,19.6,7.84,1.96,25.48,1.96,5.88,0,656.53,5.88,39.2,64.67,519.34,101.91,0,50.95,0,13.72,15.68,1.96,3.92,9.8,0,17.64,0,39.2,74.47,31.36,0
