stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,24.52,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,26.29,0,23.66,0,0,23.66,0,0,0,0,0,0,0,0,0,0,504.71,7.89,0,0,118.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,22.03,0,0,0,0,0,0,0,0,0,0,207.7,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,24,3,6,0,12,0,0,1,0,0,8,0,2,66,4,0,0,15,0,38,16,1,7,87,0,1,0,0
 24-34,0,0,0,0,2.46,0,7.39,0,1.64,0.82,0,0,0,0,9.03,0,2.46,22.16,0,0,0.82,0,0,1.64,0,0,0.82,8.21,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,24.98,0,2.42,0,0,0,0,0,7.25,0,3.22,20.95,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,26.97,0,5.16,0,0,0.57,0.57,0,6.89,0,1.15,15.49,0.57,0,0,0,0,0,0,0,0,4.59,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,28.46,0,9.82,0,0,0,0,0.98,6.87,0,0.98,7.85,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0.98,0,5.89,0.98,10.8,0,0,0,0,0,6.87,0,0,4.91,0,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,1.06,0,1.06,0,6.37,1.06,5.31,0,1.06,0,0,0,6.37,0,0,2.12,0,1.06,1.06,0,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,3.28,0,1.09,1.09,0,1.09,1.09,0,4.37,0,0,6.56,1.09,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,1.53,4.6,0,4.6,1.53,0,0,0,0,6.89,0,2.3,3.06,0,0,0.77,0,0.77,1.53,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,7.84,0,5.88,1.96,1.96,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0
