stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,5.75,0,1.64,6.57
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,9.67,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0.57
 60-70,0,0.98,0,3.93,0,0.98,0,0,0,0,1.96,0,0,4.91,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,1.09,0,0,0,2.19,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0,2.3
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0
