stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,2,13,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,2,25,0,2,0,0,17,2,1,1,6,14,0,0,1,0,1
 24-34,1.64,0.82,12.31,0,0,11.49,0,1.64,2.46,2.46,0.82,0,0,5.75,24.63,0,1.64,0.82,1.64,23.8,4.93,0,12.31,184.69,1.64,8.21,5.75,0,87.01,0,17.24,1.64,1.64,35.3,0,0,11.49,0,1.64
 36-46,0,0.81,9.67,0,0,42.7,1.61,2.42,5.64,16.11,1.61,0,0.81,0.81,12.09,0,0.81,0,4.03,37.87,3.22,0.81,13.7,309.38,0,16.11,2.42,0,63.65,0,5.64,4.03,0.81,74.12,0,0,3.22,0,9.67
 48-58,0.57,0,6.89,0,0,104.43,4.02,2.3,3.44,41.89,2.3,0,0.57,4.59,5.74,1.15,1.72,2.3,5.74,64.27,4.59,5.16,11.48,417.73,0,7.46,5.16,0.57,33.85,0,5.16,10.33,0,88.37,0,0,6.89,0,5.74
 60-70,0,0,6.87,2.94,0,212.99,4.91,2.94,6.87,100.12,12.76,0,0,3.93,8.83,2.94,3.93,8.83,0,84.41,0.98,4.91,9.82,527.08,0,8.83,5.89,0,26.5,0,11.78,13.74,0,67.73,0,0,8.83,0,6.87
 72-82,4.91,0,26.5,1.96,0.98,247.38,2.94,3.93,6.87,123.69,76.57,0,0,15.71,18.65,1.96,4.91,29.45,0,120.74,1.96,1.96,17.67,408.37,0,17.67,11.78,0,29.45,0,24.54,6.87,0,45.16,0.98,8.83,18.65,7.85,0.98
 84-94,7.43,0,33.99,3.19,6.37,224.09,8.5,2.12,4.25,73.28,134.88,0,1.06,21.24,26.55,9.56,6.37,74.34,6.37,91.34,7.43,4.25,12.74,229.4,1.06,12.74,16.99,1.06,64.78,0,52.04,19.12,0,31.86,4.25,1.06,12.74,4.25,3.19
 96-106,5.46,2.19,36.06,14.21,6.56,140.98,4.37,1.09,7.65,78.68,206.55,0,4.37,16.39,31.69,4.37,14.21,87.43,4.37,71.04,4.37,3.28,13.11,202.18,0,16.39,22.95,2.19,49.18,0,53.55,24.04,0,12.02,7.65,1.09,12.02,3.28,5.46
108-118,2.3,0,39.83,3.06,11.49,114.13,6.13,3.06,0,61.28,147.06,0,1.53,15.32,28.34,7.66,2.3,112.6,3.06,49.79,1.53,2.3,11.49,226.73,0.77,9.96,14.55,0.77,44.43,0,45.19,24.51,0,8.43,6.13,3.06,9.19,2.3,3.06
120,0,0,25.48,5.88,3.92,72.51,1.96,3.92,1.96,52.91,78.39,0,0,11.76,21.56,0,1.96,41.16,0,21.56,3.92,0,1.96,199.9,5.88,5.88,7.84,3.92,41.16,0,25.48,0,0,7.84,1.96,0,5.88,1.96,1.96
