stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,5,3,0,7,0,0,1,0,0,0,0,0,4,0,1,39,0,0,0,2,0,3,2,1,14,0,0
 24-34,3.28,1.64,0,27.09,0,0,0,0,0,0,0.82,0,14.78,0,4.1,81.26,0.82,0,0.82,0,0,4.93,0,0,27.09,0,0
 36-46,1.61,0,0,9.67,0,0,1.61,0,0,0,0,0,9.67,0,4.03,36.26,0.81,0.81,0.81,0,0,0,0,0,3.22,1.61,0
 48-58,1.72,0,0,16.64,0.57,0.57,1.15,0,0,0,0,0,10.9,0,1.72,16.07,0,0,0.57,0,0,0.57,0,0,2.87,0,0
 60-70,0.98,0,0,5.89,0,0,0,0,0,0,0,0,8.83,0.98,0,10.8,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,3.93,0,0,4.91,0,0,5.89,0,0,0,0,0,12.76,0,0.98,13.74,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,5.31,0,0,1.06,0,1.06,1.06,0,1.06,7.43,0,3.19,10.62,0,0,1.06,0,0,0,0,0,1.06,1.06,2.12
 96-106,3.28,0,0,7.65,0,0,4.37,0,0,0,0,0,4.37,1.09,3.28,2.19,0,0,1.09,0,1.09,0,0,0,0,3.28,0
108-118,0,0.77,0.77,3.83,0,0,1.53,0.77,0,0,0,0,6.89,0,0.77,9.19,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,9.8,0,1.96,3.92,0,1.96,0,1.96,1.96,13.72,0,5.88,41.16,0,0,1.96,0,1.96,0,0,0,0,0,0
