stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,14,0,0,0,0,0
 24-34,0,0,1.64,0,0,1.64,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,4.93,0,0,134.62,0.82,0.82,0,0,0,1.64,0,0.82,56.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,306.15,1.61,0,0,0,0,0.81,0,0.81,39.48,0,0,0,0,0.81
 48-58,0,0,1.15,0.57,0,13.77,0.57,0.57,0,6.31,0,0,0.57,0,0,1.15,0,0,0.57,5.74,0,0.57,405.68,3.44,0.57,0,0,0,0.57,0,0,31.56,0,0,1.15,0,1.72
 60-70,0,0,1.96,0,0,26.5,0,0.98,0,14.72,0,0,0,0,0,0.98,0,0,0,6.87,0,0.98,956.98,3.93,0.98,0.98,0,0,0.98,0,0,38.28,0,0,0.98,0,1.96
 72-82,0,0,5.89,0.98,0,105.04,0,0,0,28.47,0.98,0,2.94,0,0.98,0,0,0.98,0,20.61,1.96,0.98,1109.28,5.89,0,0,0,0.98,0,0,0,18.65,0,0,0.98,0,2.94
 84-94,0,0,8.5,0,0,57.35,0,0,1.06,13.81,0,0,1.06,0,0,1.06,0,0,0,16.99,3.19,1.06,517.21,10.62,0,3.19,0,0,0,0,0,11.68,0,2.12,1.06,0,1.06
 96-106,0,0,5.46,1.09,0,55.74,0,1.09,0,20.76,0,0,1.09,0,2.19,3.28,1.09,0,1.09,13.11,1.09,0,430.58,5.46,0,1.09,0,2.19,2.19,0,0,13.11,0,0,2.19,1.09,3.28
108-118,0,0,4.6,0.77,1.53,32.94,0,0,0,12.26,0.77,0,0,0.77,0,2.3,0,1.53,0,12.26,0.77,0,503.24,4.6,0,2.3,0,0,0.77,0,0,6.13,0.77,0,0.77,0,0
120,0,0,15.68,1.96,0,78.39,0,0,0,23.52,0,0,1.96,0,0,1.96,0,1.96,0,17.64,3.92,3.92,1073.96,17.64,1.96,0,0,0,0,0,0,25.48,0,0,0,0,1.96
