stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,68,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,7.39,0,0.82,0,2.46,0,0,0.82,0.82,0,0,5.75,0.82,4.1,265.14,1.64,0,0.82,0,0,0,0,150.22,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,13.7,0.81,0,1.61,4.83,0,0,0,0,0,0,27.39,0,3.22,530.13,3.22,2.42,0,0,0,2.42,0,158.72,0,1.61,0
 48-58,0,0,0,0,1.72,0,0,45.9,0,0,1.72,17.79,0,0.57,0,0.57,0,0,22.95,0,4.02,661.02,0.57,1.15,1.72,0,0.57,0,0.57,170.42,1.72,1.15,0.57
 60-70,0,0,0,0,0.98,0.98,0,63.8,0,0,0.98,46.13,0,0.98,0,0,0.98,0,37.3,0.98,0.98,724.36,1.96,0.98,0,0,0,0,0,156.06,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,67.73,0,0,1.96,53.01,0,0.98,0,0,0.98,0,37.3,1.96,0.98,509.48,1.96,0.98,0,0,0,0,0,65.77,1.96,0.98,0.98
 84-94,0,0,1.06,0,1.06,1.06,0,50.98,0,0,2.12,40.36,0,1.06,1.06,0,1.06,0,23.36,4.25,0,236.83,2.12,0,3.19,0,0,1.06,0,40.36,2.12,1.06,1.06
 96-106,0,0,0,0,2.19,2.19,0,31.69,1.09,0,1.09,22.95,3.28,0,0,1.09,0,2.19,22.95,1.09,1.09,163.93,2.19,1.09,3.28,0,0,1.09,0,17.49,0,2.19,0
108-118,0,0,0,0,3.06,0,0.77,25.28,0,0.77,1.53,30.64,1.53,0.77,0.77,0,0,0,13.02,1.53,0.77,177.7,6.13,0,1.53,0,0,0.77,0,13.02,0.77,1.53,0.77
120,0,0,0,0,1.96,0,0,33.32,0,0,0,21.56,0,0,0,1.96,1.96,0,13.72,0,5.88,188.14,9.8,0,0,0,0,0,0,15.68,0,0,0
