stage,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,7,0,5,0
 24-34,0,0,0,2.46,0,0.82,0,0.82,36.94,0,15.6,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,7.25,0,4.83,0
 48-58,0,0,0,0.57,0,0.57,0,0,1.15,0.57,1.72,0
 60-70,0,0,0,0,0,0,0,0,0.98,3.93,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,1.96,4.91,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,9.56,0,0
 96-106,0,0,2.19,0,0,0,1.09,0,0,13.11,0,0
108-118,0.77,0.77,0,0,0,0,0,0,0,12.26,0,0
120,0,0,0,0,0,0,0,0,0,5.88,0,0
