stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,16,0,0,1,0,0,0,0,0,5,0,0,1,55,0,0,1,0,0,1,0,2,0,0,0,0
 24-34,0,0,0,55.82,0,0,2.46,0,3.28,0,0,0,25.45,0,0,4.93,146.93,0,0.82,2.46,0,0,0,0.82,14.78,0,0,0,0
 36-46,0,1.61,0.81,66.87,0.81,0.81,11.28,0,1.61,0,0,0,19.34,0,0,4.03,140.19,0.81,0,1.61,0,0,0,1.61,15.31,0,0,0,0
 48-58,0,0,0,114.76,0.57,0,20.66,0.57,1.15,0,0,0,28.12,0,0,2.87,73.45,0,0,0.57,0,0,0,1.15,29.26,0,0,0.57,0
 60-70,0,0.98,0,305.25,0,0.98,11.78,0,0,0,0,0.98,30.43,0,1.96,0.98,59.87,0,0,0,0,0,0,0,9.82,0,0.98,0,0
 72-82,0,0.98,0.98,166.88,0,0,14.72,0.98,0.98,0,0,0,29.45,0,0,2.94,41.23,0,0.98,1.96,0,0,0,0.98,2.94,0.98,0,0,0.98
 84-94,0,0,0,132.75,0,0,9.56,0,0,0,0,0,16.99,0,0,0,21.24,0,0,0,0,0,0,0,3.19,0,0,0,0
 96-106,0,1.09,0,91.8,0,0,5.46,0,0,0,1.09,0,6.56,0,0,0,13.11,0,1.09,2.19,0,0,0,2.19,1.09,0,0,1.09,0
108-118,0,0.77,0,130.98,0,1.53,4.6,0,0,0.77,0,0.77,6.13,0.77,0,0,17.62,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0
120,0,0,0,72.51,0,0,3.92,0,0,0,0,0,11.76,0,1.96,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0
