stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,1,3,1
 24-34,0,0,0,0,1.64,0.82,0,0,0,0,0,0.82,0,1.64,11.49,0.82,0,0,0,0,4.93,0
 36-46,0,0,0,0,4.03,0,0,0,0.81,0,0,0.81,0,0,13.7,0,0,0,0,0,3.22,1.61
 48-58,0,0,0,0.57,3.44,0,0,0.57,0,0,5.16,0.57,0,0,18.36,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,2.94,0.98,0.98,32.39,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,20.61,0,0,2.94,0,0,0.98,2.94,0,0,55.95,0,0,0,0.98,0,6.87,0.98
 84-94,0,0,0,0,11.68,0,0,1.06,0,0,4.25,1.06,0,0,25.49,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,6.56,0,0,0,0,1.09,3.28,0,0,0,16.39,0,0,0,1.09,0,0,4.37
108-118,0,0,0,0,8.43,0,0,0.77,0.77,0,6.13,2.3,0,0,22.98,0,0.77,0,0,0,0.77,2.3
120,0,0,1.96,0,3.92,0,1.96,0,0,0,1.96,0,0,0,23.52,0,0,0,0,0,0,0
