stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1330.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1189.15,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,26.29,0,13.14,0,2.63,31.54,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,339.1,21.03,0,0,139.32,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,3.15,34.62,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,280.08,3.15,0,0,91.26,0,6.29,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,31,0,0,1,1,0,1,4,0,0,6,12,0,0,0,0
 24-34,0,0,0,0,1.64,0,4.93,0.82,0.82,0.82,0,0,0,0,0.82,0,0,0,0,7.39,0.82,0,3.28,80.44,0.82,0.82,0.82,0,1.64,0,0,0,0,0.82,14.78,0,3.28,0,0
 36-46,0,0,0,0,0,0,16.11,0,0,2.42,0,0,0,0,0,0,0,0,0,8.06,0,0.81,3.22,59.62,0,0.81,0.81,0,0.81,0,0,0,0,0,7.25,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,23.53,0.57,0.57,4.59,0,0.57,0.57,0,0,0,0,0,1.15,6.31,0,1.15,1.72,46.48,0,0,0,0,1.15,0,0,0,0.57,0,8.61,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,34.35,0.98,0,7.85,0,0,0,0,0,0,0,0.98,0,8.83,0,0,1.96,45.15,0,0.98,0.98,0,2.94,0,0,0,0,0,7.85,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0.98,19.63,0,0,4.91,0,0,0,0,0,0,0.98,0,0.98,13.74,0.98,0,2.94,48.1,2.94,0,0.98,0,3.93,0,0,0,0,0,5.89,0,0.98,0,0.98
 84-94,0,0,0,0,5.31,2.12,18.05,0,1.06,5.31,0,1.06,0,0,1.06,1.06,0,0,0,9.56,0,0,1.06,23.36,0,0,1.06,0,12.74,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,7.65,0,13.11,0,0,7.65,2.19,0,0,0,0,0,0,0,0,5.46,0,1.09,1.09,14.21,1.09,0,0,0,4.37,0,0,0,0,0,2.19,0,3.28,1.09,0
108-118,0,0,0,0.77,4.6,1.53,10.72,0,0,3.83,0,0,0.77,2.3,0,0,0,0,0,9.19,0,0.77,1.53,23.74,0,0.77,0,0,5.36,0,0,0,0,0,0,1.53,2.3,0,0
120,0,0,0,0,9.8,5.88,13.72,1.96,0,5.88,1.96,0,0,0,0,1.96,0,0,0,11.76,1.96,0,0,33.32,1.96,0,0,0,9.8,0,0,1.96,0,0,5.88,0,0,0,0
