stage,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,10.67,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,31.42,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,20.66,0.57,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,27.48,0,0,0.98,2.94,2.94,0,0,0,0,0
 72-82,0,0,0,26.5,2.94,0,5.89,0,1.96,0,0,0,0,0
 84-94,0,0,2.12,38.23,3.19,1.06,1.06,0,6.37,0,0,0,0,0
 96-106,0,0,0,24.04,2.19,0,3.28,0,4.37,0,0,0,0,1.09
108-118,0,0,0.77,26.04,3.83,0,6.13,0.77,3.06,0.77,0,0,0,0
120,0,1.96,0,31.36,1.96,0,3.92,0,3.92,0,0,0,0,0
