stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,138.47,3.15,0,56.65,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,24,1,1,0,0,5,0,2,9,0,0,0
 24-34,0,0,1.64,2.46,0,5.75,0,0.82,0,0,0,0,0,0.82,0.82,0,3.28,0,39.4,0,0,0,0.82,0,0,1.64,8.21,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0,1.61,3.22,17.72,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,1.15,0,7.46,0.57,0.57,1.72,1.15,0,0,0.57,0.57,0,0,2.87,1.15,22.95,0.57,0,0,0,0,0,0,2.87,0,1.15,0
 60-70,0,0,0,1.96,0.98,7.85,0,0.98,1.96,1.96,0,0.98,0.98,0,0,0,3.93,1.96,16.69,0.98,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,4.91,0,0,1.96,0,0,0,0,0,0,0,2.94,3.93,22.58,0,0.98,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,0,0,2.12,2.12,0,0,1.06,0,0,1.06,1.06,4.25,6.37,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,3.06,0,0,0.77,0,0,0,0.77,0,0,0,3.06,0.77,7.66,0,0,0,1.53,0,0,0,0,0,1.53,0
120,0,0,0,7.84,1.96,5.88,0,1.96,5.88,0,0,0,0,0,0,0,1.96,1.96,23.52,1.96,0,0,0,0,0,0,0,0,1.96,0
