stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,5,0,1,0,1,1,1,0,0
 24-34,0,0,0.82,0,2.46,0,0,1.64,0,0.82,21.34,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,10.47,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,1.15,0,3.44,0.57,0,4.59,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,0,0,0.98,0.98,0,6.87,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,6.87,2.94,0,1.96,0.98,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,1.06,0,0,0,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,1.96,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0
