stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,0.82,0,0,0,0,0,0,0,4.93,0,0.82
 36-46,0,0,1.61,0,0.81,0,0,0,0.81,1.61,0,0
 48-58,0,1.15,0,0,0,0,0,0,1.72,0.57,0,0
 60-70,0.98,0,0,0,0,0,0,0,0.98,3.93,0,0
 72-82,0,0,0,0,0,0,0.98,0,4.91,3.93,1.96,0
 84-94,6.37,0,1.06,0,0,0,0,1.06,1.06,6.37,1.06,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,3.28,0,0
108-118,5.36,0,1.53,0,0,0.77,0.77,0,0.77,4.6,0,0
120,7.84,0,1.96,0,0,0,0,0,0,3.92,0,0
