stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,gut,liver,mesenchyme,muscle,neural,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,1,2,0,0,0,11,0,0,1,3,1,26,1,5,1
 24-34,0.82,0,0,0,0.82,0,1.64,1.64,0.82,0.82,4.93,0,9.03,0,1.64,2.46
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,4.83,0,0,0,2.42,4.03
 48-58,0,0,0,0,0.57,0,0,0.57,8.61,0.57,7.46,0,0.57,0,4.02,1.72
 60-70,0,0,0,0,0.98,0,0.98,1.96,9.82,0.98,4.91,0,0,0,1.96,1.96
 72-82,0,0,0,0,2.94,0,0,0.98,7.85,0.98,2.94,0,0,0,0,3.93
 84-94,0,0,0,1.06,1.06,1.06,2.12,4.25,10.62,2.12,1.06,0,0,0,1.06,3.19
 96-106,0,0,0,0,2.19,0,1.09,3.28,3.28,3.28,7.65,0,3.28,0,0,4.37
108-118,0,0.77,0,2.3,0.77,0,0.77,3.83,6.13,0.77,3.83,0,0,0,0,2.3
120,0,0,0,1.96,0,0,1.96,1.96,3.92,0,0,0,1.96,0,0,1.96
