stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,331,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,18.88,0.82,0,50.89,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0,2.42,0,0,0.81,8.86,0,0,33.03,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,13.77,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0.57,0.57,0,9.18,0,0,27.54,0,0.57,0,4.02,0,0,1.15,0
 60-70,0,0,0,0,0,9.82,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,10.8,0,0,24.54,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0,20.61,0,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,0,8.83,0,0,50.06,0,0,0,2.94,0,0,1.96,0
 84-94,0,0,0,0,1.06,4.25,0,0,4.25,0,0,0,0,0,0,0,0,0,4.25,1.06,0,0,6.37,1.06,0,49.92,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,0,7.65,9.84,0,2.19,7.65,0,0,2.19,3.28,1.09,1.09,1.09,1.09,0,2.19,0,0,1.09,8.74,0,2.19,42.62,0,3.28,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,12.26,0,0,2.3,0,0,0,0.77,0.77,0,0,0.77,0.77,3.06,0,0,1.53,13.02,0.77,0,46.72,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,3.92,5.88,0,1.96,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,9.8,1.96,0,54.87,0,1.96,0,0,0,0,0,0
