stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,25.18,18.88,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,2,0,1,0,0,0,4,1,0,0,4,0,0,0,0,1,2,0,1,15,0,0,2,0,654,5,1,0,3,18,0,0,0,0
 24-34,0,0,0,8.21,0,0,2.46,0,3.28,0,2.46,0.82,0.82,0,18.06,0,0.82,0,0,9.85,13.13,0.82,0.82,45.97,0,5.75,5.75,0,1255.09,0.82,7.39,0.82,0.82,16.42,0,2.46,0,0
 36-46,0,0,0,7.25,0,0,5.64,0,4.03,0.81,2.42,0.81,0,0,7.25,0,0,0,0.81,4.83,6.45,0,2.42,32.23,0.81,5.64,0.81,0,1140.83,0,1.61,0,0,10.47,0,1.61,0,0
 48-58,0,0,0,11.48,0,0,12.62,0.57,13.2,1.15,5.16,0.57,0,0,2.87,0,0,0,0.57,7.46,9.18,0,0,23.53,0,4.59,1.15,0,905.46,0,1.15,0,0,10.9,0,0.57,0,1.15
 60-70,0,0,0,34.35,0,0,14.72,0,12.76,0,0.98,0,0,0,11.78,0,0,0,0.98,7.85,6.87,0,0,16.69,0,10.8,9.82,0,877.48,0,0.98,0,0,3.93,0,0,0,0
 72-82,0,0,0,88.35,0,0,13.74,0,16.69,0,2.94,2.94,0,0.98,29.45,0.98,0,0.98,0,16.69,6.87,1.96,0.98,37.3,0,19.63,24.54,0,809.87,0,2.94,0.98,0,3.93,0.98,0,0,0.98
 84-94,0,0,0,155.06,1.06,0,10.62,0,59.47,0,2.12,8.5,0,0,61.6,1.06,0,0,0,6.37,19.12,1.06,1.06,14.87,0,45.67,21.24,0,2365.16,0,4.25,0,0,1.06,7.43,0,0,0
 96-106,0,0,1.09,206.55,2.19,0,9.84,0,53.55,0,10.93,13.11,0,3.28,79.78,1.09,3.28,2.19,0,15.3,20.76,1.09,2.19,38.25,0,71.04,34.97,0,2121.22,0,3.28,0,0,4.37,7.65,0,1.09,0
108-118,0,0.77,0.77,194.55,0.77,0.77,15.32,0.77,84.26,0.77,7.66,21.45,0,0,72,0.77,0.77,0,0.77,14.55,39.06,1.53,2.3,26.81,0,38.3,39.83,0,1968.52,0,3.83,0,0,0.77,8.43,1.53,0,0.77
120,0,0,0,125.43,0,0,7.84,0,74.47,1.96,9.8,9.8,0,1.96,37.24,1.96,0,0,0,15.68,17.64,1.96,3.92,31.36,3.92,33.32,37.24,0,1191.55,0,1.96,0,0,0,5.88,0,0,0
