stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,4.93,0,0,8.21,0,0,0,0,0,0.82,0,4.93,0,0,6.57,4.93,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,16.92,0.81,0,1.61,1.61,0,0,0,0,0,0,44.31,0,0,23.36,9.67,1.61,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0,0.57,49.92,0.57,0,0.57,6.31,0,0,0,0,0,0,160.67,0,1.15,26.4,8.03,1.15,0,0,0,0,0,0,0,0.57,0,0,0.57,0,1.72
 60-70,0,0,0,0,0,10.8,0,1.96,71.65,2.94,0,0,5.89,0,0,0,0,0,0,465.24,0,1.96,29.45,10.8,0,0,0,0,0,0,0,0,1.96,0,3.93,0,2.94,9.82
 72-82,0,0,11.78,0.98,0,63.81,0.98,3.93,148.23,10.8,3.93,0,11.78,0,0,1.96,0.98,0,7.85,1119.09,0,10.8,53.99,56.94,0,0,0.98,2.94,2.94,0,0,0,3.93,0.98,24.54,1.96,15.71,6.87
 84-94,0,0,11.68,0,1.06,88.15,1.06,2.12,124.26,9.56,0,0,10.62,3.19,1.06,1.06,0,1.06,14.87,842.2,0,13.81,40.36,32.92,1.06,0,0,0,2.12,0,3.19,0,1.06,0,22.3,3.19,7.43,4.25
 96-106,0,1.09,29.51,6.56,0,133.33,3.28,7.65,126.77,15.3,4.37,0,15.3,4.37,1.09,3.28,0,3.28,4.37,1227.27,0,31.69,67.76,121.31,0,0,1.09,4.37,6.56,0,3.28,0,2.19,0,37.16,2.19,20.76,28.41
108-118,0,0,12.26,2.3,0,54.38,0,2.3,113.36,10.72,0.77,0,8.43,2.3,1.53,0.77,2.3,2.3,6.13,1426.99,1.53,20.68,62.04,128.68,0.77,0.77,3.83,3.83,3.83,0,0,0,6.13,1.53,31.4,3.06,11.49,9.96
120,0,0,11.76,3.92,1.96,68.59,3.92,5.88,117.59,3.92,3.92,0,11.76,3.92,0,1.96,0,1.96,0,1171.95,0,11.76,50.95,82.31,0,1.96,0,1.96,3.92,0,0,0,5.88,0,37.24,0,17.64,19.6
