stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,521.02,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,23.66,0,0,0,23.66,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,244.47,23.66,0,0,102.52,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,0,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,273.79,18.88,0,0,94.41,0,3.15,0,3.15,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,29,11,0,9,0,1,0,9,2,0,0,0,2,0,0,1,0,23,0,14,183,9,0,3,3,0,7,0,26,1,4,34,91,0,0,6,0,0
 24-34,0,0,0,0.82,11.49,1.64,0,41.04,0,1.64,3.28,10.67,2.46,0,0.82,0,2.46,0,1.64,0.82,0.82,27.09,0,19.7,445.72,0,6.57,4.93,0,0,12.31,0,0,2.46,0,10.67,92.76,0,0,13.13,0,1.64
 36-46,0,0,0.81,0,8.86,0.81,0,85.4,0.81,0.81,0.81,11.28,0,0,0,0.81,0.81,0.81,0.81,0.81,0,25.78,0,8.06,294.87,0,6.45,3.22,0,0,11.28,0,0,0.81,0,0,74.12,0,0,8.06,0,0.81
 48-58,0,0,0,0,2.3,1.72,0,138.29,0.57,1.15,1.72,34.43,0,0.57,0.57,1.15,0.57,1.15,1.15,0.57,0.57,33.85,1.15,6.89,278.87,0,3.44,1.15,0,0.57,7.46,0,0,0,0,0,76.89,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,6.87,0.98,0,179.62,2.94,1.96,2.94,41.22,0,0,0.98,0.98,0,0,0,0,1.96,30.43,0,0.98,281.7,1.96,1.96,0.98,0,0,11.78,0,0,0,0,0,40.24,0,0,2.94,0,0
 72-82,0,0,1.96,0,9.82,14.72,0,181.61,0,0.98,6.87,56.94,0,0,0,1.96,0,1.96,2.94,0,0.98,75.59,0.98,7.85,279.77,0.98,11.78,4.91,0,0,4.91,0,0,1.96,0,0,30.43,0,2.94,8.83,3.93,1.96
 84-94,0,0,2.12,0,15.93,10.62,0,123.2,0,2.12,3.19,33.99,1.06,1.06,0,4.25,2.12,4.25,2.12,1.06,3.19,43.54,3.19,9.56,169.93,0,3.19,3.19,0,1.06,13.81,0,0,3.19,0,0,24.43,4.25,0,7.43,2.12,0
 96-106,0,0,2.19,0,15.3,8.74,0,114.75,0,3.28,2.19,53.55,3.28,0,1.09,9.84,2.19,5.46,2.19,0,1.09,45.9,1.09,7.65,166.11,1.09,7.65,10.93,0,0,21.86,0,0,1.09,1.09,0,9.84,6.56,3.28,14.21,0,3.28
108-118,0,0,0.77,0,16.09,12.26,1.53,102.64,1.53,3.83,4.6,32.94,2.3,0,0,8.43,3.06,5.36,0.77,1.53,3.83,54.38,0.77,11.49,193.79,0,4.6,6.13,0,1.53,14.55,0,0,0.77,1.53,0,10.72,2.3,0.77,4.6,0.77,3.06
120,0,0,0,1.96,21.56,11.76,0,74.47,0,3.92,3.92,31.36,3.92,0,1.96,5.88,1.96,0,3.92,1.96,0,29.4,0,3.92,176.38,0,7.84,3.92,0,0,9.8,0,0,1.96,0,0,7.84,1.96,0,9.8,0,0
