stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,5.26,0,0,0,0,13.14,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,0,18.88,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,2,12,2
 24-34,0,0,0.82,0,0.82,2.46,0.82,0,0,0,12.31,1.64,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,2.42,0,0,0,1.61,9.67,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,2.3,1.15,0,0,1.15,4.59,1.15,0,0,0.57,0,0,1.15
 60-70,0,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,1.96,0.98,4.91,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,2.19,0,1.09,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,3.06,1.53,2.3,4.6,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,3.92,0,3.92,1.96,0,3.92,0,1.96,0,0,0
