stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,157.35,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,60,0,0,0,0,0,1,0,1,30,0,0,0,0
 24-34,0,0,0,6.57,0,10.67,0,0.82,0,0,0,0,0,0,17.24,0,5.75,0,0,4.93,195.36,1.64,1.64,0,0,4.93,0,0.82,0.82,176.48,0,0.82,0,0
 36-46,0,0,0,1.61,0,25.78,0,6.45,0,0,0.81,0,0.81,0.81,3.22,0,12.09,0,0,3.22,291.65,0,2.42,0,0.81,4.83,0,0,0,344.83,0,2.42,0,0
 48-58,0,0,0,2.3,0,44.76,1.15,17.21,0.57,0,0.57,0,0,0,1.72,0.57,13.2,1.15,0,3.44,268.54,0.57,1.72,0,0,2.3,0,0,0,361.5,0,6.89,0,2.87
 60-70,0,0,0,3.93,0.98,34.35,0.98,10.8,0,0,1.96,0.98,0,0,2.94,0,22.58,0.98,0.98,1.96,319.98,0,0.98,0,0,0.98,0,0,0,264.03,0,2.94,0,0.98
 72-82,0,0.98,0,1.96,0.98,37.3,1.96,9.82,0,0,0,0,0,0,0,0,17.67,0,0.98,2.94,272.9,0,1.96,0.98,0,1.96,0,0.98,0,184.55,0,4.91,1.96,1.96
 84-94,0,0,0,4.25,1.06,38.23,0,19.12,0,0,6.37,0,0,0,0,1.06,16.99,0,0,2.12,133.82,0,1.06,1.06,0,3.19,0,0,0,98.77,1.06,3.19,2.12,0
 96-106,0,0,0,1.09,4.37,21.86,0,16.39,0,0,1.09,0,0,0,0,0,16.39,0,0,0,113.66,0,1.09,1.09,0,2.19,0,1.09,0,55.74,0,1.09,2.19,0
108-118,0,0,0,2.3,1.53,5.36,0,19.92,0.77,0,0.77,0.77,2.3,0,0,0,9.96,0,0,1.53,114.89,0,0.77,0,0,1.53,0,0,0,49.79,0.77,0.77,0.77,0
120,0,0,0,3.92,0,15.68,0,31.36,0,0,1.96,0,0,0,0,0,9.8,0,0,0,129.35,0,0,0,0,5.88,0,0,0,48.99,0,0,0,0
