stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,130,0,2,0,0,0,3,0,0,10,0,0,0,0,15,1,0,30,10,0,0,0,0,64,1,12,128,11,0,0,0,0,0
 24-34,0,15.6,0,1.64,0,0,0.82,0.82,0.82,0,12.31,0.82,0,0,0.82,16.42,0,0,18.06,2.46,0,0,0,0,0,0.82,1.64,14.78,6.57,0,0,13.95,0,0.82
 36-46,0,4.83,0,1.61,0,0.81,0,1.61,1.61,0,3.22,0.81,0.81,0,0,43.51,0,0,24.17,6.45,0,0,0,0,0,0,0,0,5.64,0,0,18.53,0,0
 48-58,0,2.87,0,2.87,0,0.57,1.15,0,1.72,0,1.72,0,0,0,0,36.72,1.15,0,4.02,1.72,0,0,0,0,0,0,0.57,0,6.31,0,0,12.62,0,0
 60-70,0,2.94,0.98,1.96,0,0,1.96,1.96,0.98,0,0,0.98,0,0,0,117.78,0,2.94,8.83,4.91,0.98,0,0.98,2.94,0,0,0,0,10.8,0,0.98,13.74,0,0
 72-82,0,4.91,0,10.8,0,0,0.98,5.89,1.96,0,5.89,0,0,0,0,140.38,0,0.98,7.85,4.91,2.94,0,0.98,3.93,0,0,0,0,13.74,0,7.85,17.67,1.96,0
 84-94,0,4.25,0,13.81,1.06,0,1.06,1.06,3.19,1.06,4.25,0,1.06,0,0,66.91,0,1.06,7.43,4.25,0,0,0,2.12,0,0,0,0,4.25,0,3.19,18.05,0,0
 96-106,0,1.09,0,6.56,0,2.19,0,3.28,2.19,0,6.56,0,1.09,1.09,0,87.43,0,4.37,3.28,13.11,4.37,0,0,15.3,0,0,0,0,14.21,0,0,16.39,2.19,0
108-118,0,4.6,0,8.43,0,0.77,0.77,5.36,3.83,0.77,8.43,0,0.77,0,0,121.02,0,2.3,3.83,12.26,0.77,0,3.06,12.26,0,0.77,0,0,4.6,0,3.06,16.85,0.77,0
120,0,3.92,1.96,7.84,0,0,1.96,0,1.96,0,3.92,0,0,0,0,62.71,0,1.96,1.96,3.92,1.96,0,0,7.84,0,0,0,0,0,1.96,0,3.92,0,0
