stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,7.89,0,0,0,0,0,0,13.14,0,0,15.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,18.88,0,0,0,0
 14-21,0,0,1,0,2,0,0,1,0,0,0,14,1,0,0,0,4,4,0
 24-34,0,0.82,0,0,2.46,0,0,2.46,0,0,0.82,11.49,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0,2.42,0.81,0,0,0,0.81,1.61,8.06,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,2.87,1.15,0,1.15,0,0,0,5.74,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0.98,0.98,0.98,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,0,1.96,0,0.98,0,2.94,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,4.25,0,0,0,1.06,0,0,1.06
 96-106,0,2.19,0,0,0,1.09,0,1.09,0,0,0,6.56,0,0,0,0,0,0,0
108-118,0,1.53,0,0.77,3.06,0,0,3.83,0.77,0,1.53,2.3,0,0.77,0,1.53,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0
