stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,654.57,3.15,0,0,295.82,0,0,0,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,2,2,21,0,0,0,89,0,0,0,0,1,3,0,386,2,0,1,2,0,1,0,0,4,662,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,32.01,0,0.82,0.82,96.04,0,0,0,0,0,8.21,3.28,1053.98,0,0.82,2.46,0,0,0,0,0.82,0.82,557.36,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,61.23,0,0,0,82.18,0,0,0,0,0,4.83,0.81,697.71,0,0.81,0,0,1.61,0,0,0,0,554.3,0,0,0.81,0,0
 48-58,0,0,0,2.3,0.57,125.66,1.72,0,0,197.96,0,1.15,0,0.57,0,10.33,1.72,424.62,1.15,0,1.15,0,2.3,0,0.57,0,0,409.12,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,115.82,0.98,0.98,0,120.73,0,0,0,0,0,5.89,0.98,152.14,0,0,0,0,0,0,0.98,0,0,102.08,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,85.4,0,0,0.98,99.15,0,0,0.98,0,0,5.89,0.98,99.15,0,0.98,0.98,0,0.98,0,0,0,0,46.14,0.98,0.98,0,0,0
 84-94,0,0,0,2.12,1.06,61.6,0,0,0,59.47,0,0,0,0,0,10.62,2.12,61.6,0,0,0,0,0,0,0,0,0,32.92,0,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,42.62,0,0,0,51.36,0,0,0,0,0,5.46,0,45.9,0,1.09,0,0,1.09,0,0,0,0,12.02,0,0,0,0,0
108-118,0,0,0,0,0,36,0,0,0.77,32.17,0,0,0.77,0,0,3.83,0,58.21,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
120,0,0,0,0,0,48.99,0,0,0,29.4,0,1.96,0,0,0,7.84,0,48.99,1.96,1.96,0,0,0,0,0,0,0,7.84,0,0,0,0,0
